epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.743,2.51183,2.66916,1.41958,0.28619,0.061,0.05988,0.0321,1.97561,1.60107,1.16094,0.0700741,0.0033251,0.0033251
2,220.392,2.18146,1.54475,1.25984,0.42789,0.07025,0.08213,0.04375,1.86536,1.33673,1.10843,0.0400521,0.00663646,0.00663646
3,347.025,2.14128,1.42633,1.23597,0.14029,0.10147,0.08003,0.04206,1.88405,1.29308,1.11392,0.0100081,0.00992582,0.00992582
4,472.131,2.09406,1.36969,1.20391,0.36899,0.08424,0.10177,0.06017,1.80847,1.21643,1.08325,0.009901,0.009901,0.009901
5,599.102,1.99739,1.29404,1.17429,0.17129,0.11753,0.09229,0.04898,1.7181,1.15472,1.08073,0.009868,0.009868,0.009868
6,728.274,1.95125,1.25314,1.14407,0.31299,0.09528,0.11197,0.06171,1.70962,1.13114,1.05111,0.009835,0.009835,0.009835
7,856.492,1.89658,1.21237,1.1311,0.29204,0.10151,0.11776,0.06867,1.65883,1.10236,1.04318,0.009802,0.009802,0.009802
8,984.292,1.85797,1.18003,1.11796,0.32123,0.13694,0.13769,0.07837,1.61198,1.05332,1.02524,0.009769,0.009769,0.009769
9,1109.62,1.84121,1.16538,1.11277,0.33869,0.13013,0.13407,0.07738,1.59181,1.04496,1.02428,0.009736,0.009736,0.009736
10,1235.9,1.81618,1.14548,1.11042,0.33679,0.14226,0.14261,0.0795,1.57574,1.01572,1.0191,0.009703,0.009703,0.009703
11,1362.29,1.80489,1.13202,1.0986,0.3118,0.15101,0.13241,0.07707,1.57052,0.99729,1.01702,0.00967,0.00967,0.00967
12,1495.64,1.77904,1.10854,1.09116,0.24955,0.14774,0.13195,0.07654,1.5336,0.98795,1.01132,0.009637,0.009637,0.009637
13,1626.02,1.76832,1.09968,1.08875,0.36126,0.12474,0.14544,0.08502,1.52183,0.98268,1.00765,0.009604,0.009604,0.009604
14,1762.08,1.73925,1.08171,1.08014,0.46056,0.14224,0.16283,0.09786,1.50418,0.97157,0.99792,0.009571,0.009571,0.009571
15,1887.71,1.74297,1.07939,1.0759,0.23002,0.16561,0.14229,0.08175,1.51406,0.96487,1.00514,0.009538,0.009538,0.009538
16,2022.55,1.72521,1.0674,1.07545,0.18873,0.17583,0.15008,0.08992,1.49913,0.96172,0.99984,0.009505,0.009505,0.009505
17,2148.75,1.70986,1.05681,1.07053,0.26783,0.1673,0.16276,0.0957,1.47702,0.94839,0.99277,0.009472,0.009472,0.009472
18,2276.5,1.70376,1.04607,1.06522,0.26709,0.16273,0.15014,0.08729,1.47291,0.94312,0.99229,0.009439,0.009439,0.009439
19,2404.47,1.69446,1.03491,1.06455,0.24518,0.15765,0.14154,0.08297,1.47144,0.93385,0.98897,0.009406,0.009406,0.009406
20,2534.67,1.68682,1.03533,1.06398,0.26881,0.15968,0.15594,0.09236,1.46088,0.92264,0.98923,0.009373,0.009373,0.009373
21,2659.78,1.67725,1.03054,1.06296,0.2422,0.18192,0.15848,0.09426,1.45298,0.91001,0.98984,0.00934,0.00934,0.00934
22,2785.24,1.6805,1.03077,1.06185,0.28919,0.17451,0.1732,0.10367,1.46081,0.9193,0.98787,0.009307,0.009307,0.009307
23,2912.08,1.67702,1.02274,1.0599,0.27993,0.18831,0.17653,0.10612,1.43801,0.91184,0.9851,0.009274,0.009274,0.009274
24,3039.96,1.66938,1.01825,1.05665,0.31147,0.17679,0.17309,0.10203,1.43728,0.90866,0.98431,0.009241,0.009241,0.009241
25,3175.86,1.66477,1.01238,1.05549,0.24449,0.17424,0.1563,0.09115,1.44462,0.90343,0.98918,0.009208,0.009208,0.009208
26,3304.99,1.65154,1.00593,1.05272,0.25504,0.17438,0.16347,0.09749,1.42837,0.90165,0.97945,0.009175,0.009175,0.009175
27,3434.63,1.65017,1.00179,1.05184,0.25311,0.1968,0.1646,0.09687,1.42508,0.89372,0.98062,0.009142,0.009142,0.009142
28,3561.35,1.63927,0.99758,1.0477,0.26776,0.19424,0.1645,0.09786,1.41331,0.88799,0.97753,0.009109,0.009109,0.009109
29,3687.13,1.64896,0.99572,1.05126,0.25644,0.20183,0.18132,0.10917,1.41799,0.8868,0.97658,0.009076,0.009076,0.009076
30,3830.19,1.63089,0.9849,1.04769,0.26922,0.18365,0.16765,0.09971,1.41996,0.88551,0.98084,0.009043,0.009043,0.009043
31,3957.17,1.61725,0.97823,1.04547,0.29359,0.18618,0.18257,0.11071,1.41384,0.88208,0.97822,0.00901,0.00901,0.00901
32,4083.54,1.62756,0.98333,1.04588,0.26908,0.21171,0.19027,0.11487,1.40471,0.88198,0.97184,0.008977,0.008977,0.008977
33,4208.51,1.61973,0.97849,1.04211,0.27021,0.18729,0.17107,0.10245,1.41171,0.87112,0.97555,0.008944,0.008944,0.008944
34,4336.03,1.61966,0.97738,1.04155,0.24822,0.19502,0.1657,0.09992,1.40179,0.87102,0.97672,0.008911,0.008911,0.008911
35,4460.86,1.62013,0.97504,1.04316,0.26941,0.20086,0.17613,0.10634,1.39798,0.8651,0.97243,0.008878,0.008878,0.008878
36,4596.61,1.62163,0.97646,1.04045,0.26171,0.19036,0.17989,0.1082,1.39862,0.87241,0.97089,0.008845,0.008845,0.008845
37,4723.72,1.62215,0.97309,1.04252,0.26901,0.18388,0.17219,0.10392,1.38983,0.86659,0.97051,0.008812,0.008812,0.008812
38,4849.7,1.60856,0.96199,1.03725,0.27883,0.21403,0.18795,0.11345,1.38906,0.85866,0.97333,0.008779,0.008779,0.008779
39,4973.43,1.61084,0.9683,1.03973,0.27415,0.22097,0.19252,0.11608,1.382,0.85638,0.96744,0.008746,0.008746,0.008746
40,5098.56,1.60946,0.96613,1.03921,0.29312,0.20371,0.18717,0.11392,1.38022,0.86457,0.96823,0.008713,0.008713,0.008713
41,5223.74,1.61409,0.96247,1.03724,0.25403,0.21066,0.17705,0.10758,1.38178,0.85573,0.9687,0.00868,0.00868,0.00868
42,5353.02,1.59012,0.95212,1.03617,0.27738,0.19688,0.18827,0.11452,1.37473,0.85265,0.96491,0.008647,0.008647,0.008647
43,5479.43,1.59678,0.95348,1.03276,0.27004,0.20531,0.17998,0.10888,1.36433,0.84277,0.96534,0.008614,0.008614,0.008614
44,5606.11,1.59817,0.95092,1.03339,0.26871,0.21856,0.18724,0.11362,1.37123,0.84557,0.96597,0.008581,0.008581,0.008581
45,5731.03,1.57757,0.93996,1.03375,0.27513,0.21821,0.185,0.1123,1.36534,0.84323,0.96427,0.008548,0.008548,0.008548
46,5855.45,1.5982,0.95201,1.0335,0.26351,0.2279,0.18973,0.11437,1.36273,0.8399,0.96326,0.008515,0.008515,0.008515
47,5983.45,1.57404,0.93795,1.0312,0.27863,0.22038,0.19929,0.12134,1.35829,0.83908,0.96097,0.008482,0.008482,0.008482
48,6115.71,1.58634,0.94821,1.0331,0.26686,0.20869,0.18106,0.11015,1.36132,0.83634,0.96204,0.008449,0.008449,0.008449
49,6243.76,1.57621,0.93937,1.02997,0.26188,0.20976,0.17942,0.10854,1.36328,0.837,0.96298,0.008416,0.008416,0.008416
50,6373.09,1.57756,0.93892,1.03116,0.26714,0.21328,0.18508,0.11284,1.36093,0.83925,0.96351,0.008383,0.008383,0.008383
51,6497.83,1.58156,0.94376,1.03147,0.28482,0.21857,0.19338,0.11673,1.35805,0.83559,0.96291,0.00835,0.00835,0.00835
52,6622.53,1.56452,0.93018,1.02575,0.26821,0.2365,0.19874,0.12047,1.34926,0.82901,0.95951,0.008317,0.008317,0.008317
53,6747.55,1.57917,0.94186,1.02984,0.25723,0.20759,0.18036,0.11043,1.35041,0.83232,0.96035,0.008284,0.008284,0.008284
54,6874.92,1.57355,0.92706,1.02898,0.25796,0.21415,0.18287,0.11133,1.34884,0.82787,0.95928,0.008251,0.008251,0.008251
55,7000.65,1.57128,0.93405,1.02839,0.26196,0.21375,0.18682,0.11406,1.34595,0.82696,0.95892,0.008218,0.008218,0.008218
56,7125.58,1.56652,0.92867,1.02644,0.2728,0.22217,0.19009,0.11495,1.34143,0.8253,0.95844,0.008185,0.008185,0.008185
57,7251.19,1.56722,0.92946,1.02721,0.28236,0.2191,0.19548,0.11916,1.34581,0.82477,0.96021,0.008152,0.008152,0.008152
58,7380.49,1.55729,0.92303,1.02714,0.27719,0.22939,0.19686,0.11991,1.33882,0.81758,0.9581,0.008119,0.008119,0.008119
59,7508.93,1.56411,0.92092,1.02654,0.28145,0.22308,0.19816,0.11965,1.33529,0.82056,0.95782,0.008086,0.008086,0.008086
60,7632.67,1.55705,0.9207,1.02207,0.26506,0.22139,0.18645,0.11251,1.33791,0.82118,0.95725,0.008053,0.008053,0.008053
61,7755.8,1.56039,0.91969,1.02442,0.25929,0.22307,0.18809,0.11475,1.33387,0.82134,0.95765,0.00802,0.00802,0.00802
62,7878.4,1.55527,0.91397,1.02327,0.25883,0.22848,0.18897,0.1146,1.33269,0.82169,0.95591,0.007987,0.007987,0.007987
63,8001.98,1.5556,0.91971,1.02377,0.27092,0.21887,0.19118,0.11746,1.3286,0.81393,0.95569,0.007954,0.007954,0.007954
64,8125.34,1.53885,0.90528,1.01934,0.27287,0.21529,0.18626,0.11409,1.33494,0.81487,0.95556,0.007921,0.007921,0.007921
65,8251.75,1.55939,0.91982,1.02306,0.28132,0.2283,0.19294,0.1181,1.32858,0.80822,0.95407,0.007888,0.007888,0.007888
66,8378.76,1.54468,0.91128,1.02045,0.27014,0.23097,0.19341,0.1197,1.32675,0.81103,0.95563,0.007855,0.007855,0.007855
67,8507.25,1.5342,0.90929,1.02084,0.27406,0.23152,0.19609,0.12085,1.32236,0.80727,0.95315,0.007822,0.007822,0.007822
68,8634.13,1.54044,0.90811,1.02084,0.28161,0.2065,0.18314,0.11276,1.31881,0.80739,0.95269,0.007789,0.007789,0.007789
69,8760.74,1.53632,0.90525,1.02138,0.26938,0.21377,0.18595,0.11398,1.32412,0.80557,0.9542,0.007756,0.007756,0.007756
70,8888.3,1.53175,0.90221,1.01976,0.28619,0.21974,0.19531,0.11977,1.32375,0.80375,0.95355,0.007723,0.007723,0.007723
71,9013.9,1.54405,0.90425,1.0197,0.27587,0.23295,0.1986,0.12187,1.3193,0.80387,0.95305,0.00769,0.00769,0.00769
72,9147.1,1.53361,0.90178,1.01809,0.27257,0.23261,0.19664,0.12036,1.31797,0.80025,0.95418,0.007657,0.007657,0.007657
73,9271.92,1.54365,0.90686,1.01864,0.28093,0.23245,0.20072,0.12344,1.31368,0.80277,0.95092,0.007624,0.007624,0.007624
74,9399.6,1.53624,0.90363,1.01552,0.27164,0.21649,0.18752,0.11444,1.31517,0.79684,0.95029,0.007591,0.007591,0.007591
75,9527.41,1.5326,0.90013,1.01608,0.27597,0.21145,0.18725,0.1141,1.31501,0.79836,0.94961,0.007558,0.007558,0.007558
76,9654.01,1.53195,0.90224,1.01594,0.28053,0.22984,0.20271,0.1247,1.31568,0.801,0.95053,0.007525,0.007525,0.007525
77,9778.58,1.53733,0.89786,1.01406,0.28601,0.23676,0.20096,0.12285,1.3111,0.79957,0.94891,0.007492,0.007492,0.007492
78,9906.76,1.52171,0.89357,1.0162,0.28255,0.23911,0.20307,0.12488,1.30787,0.79433,0.94947,0.007459,0.007459,0.007459
79,10032.1,1.51911,0.89268,1.0143,0.27263,0.21771,0.18889,0.11567,1.30864,0.79698,0.95023,0.007426,0.007426,0.007426
80,10174.5,1.53804,0.89989,1.01732,0.28355,0.21845,0.19144,0.11751,1.30801,0.79568,0.94858,0.007393,0.007393,0.007393
81,10307.7,1.53473,0.89854,1.01835,0.28262,0.22627,0.1953,0.11926,1.30537,0.79378,0.94849,0.00736,0.00736,0.00736
