epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.403,4.67234,4.64604,2.89332,0.00027,0.00134,0.00014,3e-05,4.241,4.60974,2.52564,0.0700371,0.00332921,0.00332921
2,291.211,3.72846,3.32976,1.98364,0.02611,0.02397,0.02184,0.00769,nan,nan,nan,0.0400151,0.00664056,0.00664056
3,468.84,2.6945,1.87996,1.47894,0.04693,0.03505,0.04422,0.02275,2.23821,1.65352,1.24944,0.00997111,0.00992991,0.00992991
4,648.273,2.3802,1.64922,1.34334,0.36371,0.04525,0.07184,0.03666,1.96512,1.464,1.16794,0.009901,0.009901,0.009901
5,827.454,2.21461,1.50913,1.26741,0.28243,0.06045,0.08546,0.044,1.85311,1.3736,1.13007,0.009868,0.009868,0.009868
6,1006.41,2.10014,1.42145,1.22193,0.3782,0.07197,0.09944,0.05456,1.7564,1.23835,1.09992,0.009835,0.009835,0.009835
7,1187.02,2.04047,1.36317,1.20542,0.26942,0.11298,0.11471,0.06384,1.694,1.18026,1.08094,0.009802,0.009802,0.009802
8,1368.53,1.96666,1.29963,1.18352,0.17176,0.13573,0.13238,0.07566,1.69822,1.14664,1.07295,0.009769,0.009769,0.009769
9,1546.69,1.94208,1.27479,1.17114,0.3619,0.10102,0.13421,0.07396,1.62978,1.12168,1.05872,0.009736,0.009736,0.009736
10,1726.56,1.89959,1.2373,1.15988,0.39062,0.11725,0.15857,0.08771,1.6309,1.11057,1.05709,0.009703,0.009703,0.009703
11,1906.24,1.87838,1.21141,1.14483,0.37841,0.12736,0.15736,0.08758,1.58096,1.08479,1.04257,0.00967,0.00967,0.00967
12,2083.64,1.85207,1.189,1.13554,0.3735,0.1403,0.1499,0.08607,1.5797,1.04232,1.04101,0.009637,0.009637,0.009637
