epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.959,4.56498,4.64241,2.84902,0.00373,0.00787,0.00201,0.00052,3.88558,4.34478,2.08872,0.0700371,0.00332921,0.00332921
2,273.164,3.46316,2.88452,1.84098,0.1464,0.03262,0.03897,0.01686,2.5779,1.90054,1.37197,0.0400151,0.00664056,0.00664056
3,449.57,2.59247,1.79273,1.43905,0.2543,0.03646,0.04535,0.02307,2.16384,1.63063,1.23035,0.00997111,0.00992991,0.00992991
4,626.989,2.32559,1.59141,1.32269,0.13389,0.04332,0.06762,0.0358,1.98232,1.46076,1.16374,0.009901,0.009901,0.009901
5,804.783,2.16992,1.46568,1.25538,0.39674,0.05681,0.09231,0.0488,1.82848,1.32836,1.11978,0.009868,0.009868,0.009868
6,975.783,2.07549,1.38984,1.21434,0.24387,0.10083,0.09308,0.0506,1.75426,1.21476,1.09616,0.009835,0.009835,0.009835
7,1145.22,2.01602,1.33312,1.19796,0.4512,0.10228,0.11857,0.06879,1.67808,1.16963,1.07536,0.009802,0.009802,0.009802
8,1316.29,1.9488,1.27453,1.17923,0.32824,0.1092,0.1306,0.07298,1.67015,1.12141,1.06448,0.009769,0.009769,0.009769
9,1488.54,1.92633,1.25419,1.1668,0.40385,0.11649,0.15278,0.08735,1.63811,1.09977,1.05964,0.009736,0.009736,0.009736
10,1661.3,1.88215,1.21726,1.15576,0.40406,0.1263,0.1585,0.08691,1.62884,1.08146,1.05479,0.009703,0.009703,0.009703
11,1830.82,1.86434,1.1934,1.14087,0.37134,0.14347,0.14906,0.08491,1.58423,1.0567,1.04517,0.00967,0.00967,0.00967
12,2000.82,1.83698,1.17327,1.13215,0.37422,0.13248,0.15994,0.092,1.55612,1.0317,1.0373,0.009637,0.009637,0.009637
13,2171.54,1.81252,1.15011,1.12443,0.38596,0.13164,0.15746,0.08877,1.54593,1.01544,1.03292,0.009604,0.009604,0.009604
14,2349.81,1.78871,1.13589,1.12378,0.46337,0.13025,0.1794,0.10488,1.51884,1.0129,1.02484,0.009571,0.009571,0.009571
15,2524.36,1.78633,1.12489,1.11525,0.4148,0.14826,0.18001,0.10325,1.51471,0.9933,1.0225,0.009538,0.009538,0.009538
16,2695.22,1.77296,1.1146,1.11596,0.44115,0.14364,0.18743,0.1086,1.49251,0.97332,1.0178,0.009505,0.009505,0.009505
17,2868.74,1.75412,1.10343,1.10556,0.38002,0.17203,0.16246,0.09336,1.48168,0.95677,1.01291,0.009472,0.009472,0.009472
18,3041.58,1.72136,1.07284,1.1004,0.46599,0.13079,0.18355,0.10509,1.45646,0.95881,1.00739,0.009439,0.009439,0.009439
19,3216.21,1.72305,1.06943,1.09783,0.43628,0.14341,0.17813,0.10488,1.44858,0.9328,1.00286,0.009406,0.009406,0.009406
20,3390.5,1.71342,1.06267,1.09408,0.37182,0.17348,0.16556,0.09622,1.46044,0.93646,1.00636,0.009373,0.009373,0.009373
21,3561.63,1.70571,1.05656,1.09443,0.32631,0.16864,0.18572,0.10863,1.45321,0.93595,1.00266,0.00934,0.00934,0.00934
