epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.855,1.23272,0.85718,0.92181,0.42738,0.30448,0.30351,0.17966,1.26942,1.03606,0.92386,0.0700158,0.00333157,0.00333157
2,971.657,1.19011,0.69447,0.90466,0.43222,0.31511,0.30931,0.18235,1.2923,1.03389,0.9259,0.0400157,0.00666473,0.00666473
3,1430.05,1.19977,0.70635,0.91006,0.40528,0.30694,0.29876,0.17541,1.29681,1.05811,0.93522,0.0100148,0.00999715,0.00999715
4,1885.24,1.16726,0.68765,0.90504,0.40442,0.31117,0.29898,0.1768,1.29503,1.0512,0.9323,0.00999756,0.00999756,0.00999756
5,2342.04,1.10266,0.64196,0.89257,0.41963,0.33093,0.31934,0.19055,1.25839,1.00027,0.9249,0.00999566,0.00999566,0.00999566
6,2799.72,1.05855,0.61277,0.88428,0.4385,0.34134,0.33753,0.20074,1.24511,0.98362,0.91601,0.00999322,0.00999322,0.00999322
7,3257.58,1.02705,0.5903,0.87856,0.45922,0.34225,0.34863,0.20917,1.22257,0.96053,0.91196,0.00999023,0.00999023,0.00999023
8,3716.86,1.00195,0.57447,0.87292,0.45403,0.35737,0.3538,0.21128,1.2147,0.94741,0.91186,0.00998671,0.00998671,0.00998671
9,4172.77,0.97889,0.55816,0.86864,0.45708,0.36747,0.36678,0.22173,1.20544,0.92902,0.90761,0.00998264,0.00998264,0.00998264
10,4628.71,0.9575,0.54607,0.86456,0.47306,0.36366,0.37001,0.22295,1.20736,0.93399,0.90733,0.00997803,0.00997803,0.00997803
11,5085.32,0.94214,0.53572,0.86252,0.47184,0.37333,0.37421,0.22619,1.19488,0.92256,0.90558,0.00997288,0.00997288,0.00997288
12,5542.23,0.92798,0.52888,0.85967,0.50074,0.3769,0.3857,0.23508,1.18999,0.90944,0.90293,0.0099672,0.0099672,0.0099672
13,6000.15,0.91445,0.51973,0.85848,0.48149,0.37887,0.38095,0.2299,1.18662,0.90711,0.90182,0.00996097,0.00996097,0.00996097
14,6455.13,0.90573,0.516,0.85578,0.50328,0.37936,0.39087,0.23766,1.1763,0.8971,0.89913,0.0099542,0.0099542,0.0099542
15,6912.04,0.88644,0.50155,0.85245,0.49485,0.38515,0.39385,0.23827,1.17243,0.89588,0.89829,0.0099469,0.0099469,0.0099469
16,7369.11,0.88199,0.49994,0.85162,0.49159,0.38738,0.39175,0.2369,1.1686,0.89235,0.8987,0.00993906,0.00993906,0.00993906
17,7826.11,0.86594,0.49097,0.8492,0.49942,0.39416,0.39948,0.24312,1.16256,0.88351,0.89637,0.00993068,0.00993068,0.00993068
18,8283.88,0.8625,0.48859,0.8485,0.4958,0.38153,0.39448,0.24098,1.15864,0.88134,0.89551,0.00992177,0.00992177,0.00992177
19,8742.24,0.8527,0.48378,0.8468,0.51079,0.39131,0.40204,0.24658,1.15519,0.88155,0.89269,0.00991232,0.00991232,0.00991232
20,9201.41,0.84895,0.48256,0.8466,0.51956,0.39085,0.40759,0.24947,1.14957,0.86769,0.8937,0.00990234,0.00990234,0.00990234
21,9658.37,0.8568,0.48184,0.84455,0.50987,0.39191,0.4048,0.24781,1.16201,0.81355,0.8944,0.00989183,0.00989183,0.00989183
22,10114.3,0.85252,0.47679,0.84409,0.53132,0.39845,0.41449,0.25336,1.15892,0.80869,0.8947,0.00988079,0.00988079,0.00988079
23,10571.2,0.84069,0.47071,0.84238,0.51055,0.40338,0.41623,0.25439,1.15671,0.80398,0.89292,0.00986922,0.00986922,0.00986922
24,11023.8,0.83796,0.46798,0.84197,0.5202,0.40376,0.41765,0.25536,1.15082,0.80135,0.89131,0.00985711,0.00985711,0.00985711
25,11477.3,0.83504,0.46668,0.84134,0.52231,0.40329,0.41967,0.25793,1.14664,0.79687,0.89045,0.00984449,0.00984449,0.00984449
26,11929.6,0.83133,0.46447,0.84043,0.52446,0.40371,0.42139,0.25855,1.14541,0.79357,0.8902,0.00983133,0.00983133,0.00983133
27,12384.7,0.82381,0.45924,0.84004,0.52427,0.40644,0.4219,0.25969,1.14089,0.79194,0.88976,0.00981765,0.00981765,0.00981765
28,12841.4,0.82024,0.45824,0.83946,0.52679,0.4105,0.42449,0.26092,1.13771,0.79212,0.88781,0.00980345,0.00980345,0.00980345
29,13296,0.814,0.45413,0.83818,0.53299,0.41082,0.42791,0.26325,1.13648,0.78718,0.88881,0.00978873,0.00978873,0.00978873
30,13751.8,0.81138,0.45218,0.83805,0.5278,0.41881,0.43032,0.26441,1.13543,0.78669,0.88715,0.00977349,0.00977349,0.00977349
31,14204.3,0.80738,0.45107,0.83747,0.54556,0.40877,0.43153,0.26555,1.13465,0.78352,0.88615,0.00975773,0.00975773,0.00975773
32,14655.5,0.80242,0.4467,0.83605,0.53339,0.41346,0.43228,0.26542,1.13535,0.78219,0.88795,0.00974145,0.00974145,0.00974145
33,15105.7,0.80034,0.44502,0.83643,0.53564,0.41706,0.43221,0.26625,1.13111,0.78318,0.88825,0.00972466,0.00972466,0.00972466
34,15555.9,0.79717,0.44363,0.83561,0.53474,0.42612,0.4368,0.2694,1.13177,0.78051,0.88717,0.00970736,0.00970736,0.00970736
35,16006.7,0.79021,0.4397,0.83445,0.54215,0.42274,0.43894,0.26975,1.13348,0.77706,0.88889,0.00968955,0.00968955,0.00968955
36,16457.2,0.79121,0.44115,0.83455,0.55065,0.4248,0.44194,0.27222,1.13052,0.77429,0.88678,0.00967122,0.00967122,0.00967122
37,16910.9,0.79035,0.44129,0.83487,0.55412,0.4237,0.443,0.27253,1.13112,0.76981,0.88716,0.00965239,0.00965239,0.00965239
38,17362.7,0.78352,0.43596,0.83316,0.54613,0.42299,0.44035,0.27388,1.12706,0.77078,0.8865,0.00963306,0.00963306,0.00963306
39,17814.2,0.77808,0.43304,0.8327,0.55232,0.42012,0.44118,0.2737,1.12614,0.76729,0.88559,0.00961322,0.00961322,0.00961322
40,18266,0.77955,0.43454,0.83264,0.54397,0.4201,0.44366,0.27531,1.12394,0.76815,0.88492,0.00959289,0.00959289,0.00959289
41,18717.4,0.77849,0.43159,0.83487,0.541,0.42416,0.44192,0.27392,1.12556,0.76939,0.88678,0.00957205,0.00957205,0.00957205
42,19167.7,0.77496,0.4272,0.83707,0.55647,0.42186,0.44204,0.27487,1.12826,0.76951,0.8909,0.00955072,0.00955072,0.00955072
43,19617.7,0.77989,0.42852,0.83995,0.55511,0.42202,0.44258,0.27449,1.12965,0.76799,0.89325,0.00952889,0.00952889,0.00952889
44,20068.6,0.78024,0.42818,0.84274,0.55383,0.4216,0.44243,0.27429,1.13376,0.76854,0.89596,0.00950658,0.00950658,0.00950658
45,20519.1,0.78077,0.42679,0.84496,0.55533,0.42212,0.44351,0.27534,1.13701,0.76887,0.8988,0.00948377,0.00948377,0.00948377
46,20971.4,0.78072,0.42369,0.84744,0.56045,0.42254,0.44664,0.27695,1.14076,0.76666,0.90167,0.00946048,0.00946048,0.00946048
47,21423.3,0.7802,0.42377,0.85038,0.56372,0.41776,0.44549,0.27671,1.14426,0.76681,0.90504,0.00943671,0.00943671,0.00943671
48,21873.2,0.78197,0.42299,0.85265,0.54718,0.42523,0.44386,0.276,1.14698,0.76727,0.90781,0.00941245,0.00941245,0.00941245
49,22323.1,0.78199,0.42048,0.8542,0.54912,0.42479,0.44566,0.27649,1.15099,0.7663,0.91098,0.00938772,0.00938772,0.00938772
50,22773.7,0.78093,0.41951,0.85697,0.54699,0.42645,0.44612,0.27725,1.15452,0.76677,0.91407,0.00936251,0.00936251,0.00936251
51,23224.5,0.77879,0.41607,0.85944,0.54684,0.42998,0.44619,0.27711,1.15807,0.76627,0.91738,0.00933683,0.00933683,0.00933683
52,23675.2,0.77922,0.4151,0.86164,0.54176,0.43067,0.44594,0.27745,1.16097,0.76521,0.92006,0.00931067,0.00931067,0.00931067
53,24126.5,0.78262,0.41542,0.86415,0.5455,0.43281,0.44787,0.27843,1.16285,0.76281,0.92219,0.00928405,0.00928405,0.00928405
54,24577.2,0.78335,0.4144,0.86751,0.55303,0.43139,0.44901,0.27901,1.16654,0.76196,0.92499,0.00925697,0.00925697,0.00925697
55,25028.1,0.78263,0.41327,0.86975,0.55805,0.4317,0.45091,0.28026,1.16929,0.76163,0.92783,0.00922942,0.00922942,0.00922942
56,25478,0.78738,0.41475,0.87242,0.55732,0.43068,0.45197,0.2809,1.17098,0.76091,0.9303,0.00920142,0.00920142,0.00920142
57,25928,0.7873,0.41357,0.87536,0.56286,0.43014,0.4521,0.28151,1.17344,0.76042,0.9328,0.00917296,0.00917296,0.00917296
58,26379.9,0.78849,0.41255,0.87693,0.55607,0.43281,0.4531,0.28179,1.17597,0.75979,0.93521,0.00914405,0.00914405,0.00914405
59,26830.7,0.78604,0.4088,0.87969,0.55371,0.43681,0.4533,0.28198,1.17949,0.7593,0.93825,0.00911469,0.00911469,0.00911469
60,27281.9,0.78846,0.40926,0.88188,0.56064,0.43315,0.45371,0.28257,1.18268,0.75874,0.94104,0.00908488,0.00908488,0.00908488
