epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.252,1.25544,0.89449,0.9153,0.41309,0.2957,0.29343,0.17367,1.29201,1.04669,0.91922,0.0700158,0.00333157,0.00333157
2,668.05,1.20466,0.71426,0.89868,0.41822,0.3056,0.29513,0.17409,1.2925,1.05554,0.92257,0.0400157,0.00666473,0.00666473
3,982.994,1.21021,0.72469,0.90253,0.38199,0.31043,0.294,0.17023,1.31536,1.08303,0.92957,0.0100148,0.00999715,0.00999715
4,1296.06,1.17731,0.70378,0.89827,0.39883,0.31036,0.29534,0.17285,1.29861,1.04723,0.9251,0.00999756,0.00999756,0.00999756
5,1611.49,1.11381,0.65916,0.88627,0.41609,0.32829,0.31496,0.18618,1.28401,1.01579,0.92014,0.00999566,0.00999566,0.00999566
6,1923.78,1.07073,0.62825,0.87909,0.43543,0.33273,0.33486,0.19996,1.25178,0.98397,0.91332,0.00999322,0.00999322,0.00999322
7,2236.1,1.03859,0.60667,0.87325,0.4183,0.34324,0.33026,0.19527,1.25945,0.98797,0.91353,0.00999023,0.00999023,0.00999023
8,2548.44,1.01279,0.58912,0.86774,0.43552,0.34392,0.34138,0.20367,1.23693,0.9689,0.90922,0.00998671,0.00998671,0.00998671
9,2859.75,0.98862,0.57172,0.86354,0.44663,0.35844,0.34762,0.20939,1.21905,0.95135,0.90345,0.00998264,0.00998264,0.00998264
10,3173.49,0.96799,0.56061,0.85985,0.45225,0.36199,0.358,0.21402,1.22169,0.94505,0.90471,0.00997803,0.00997803,0.00997803
11,3485.82,0.95215,0.55004,0.85796,0.45822,0.35948,0.35957,0.21595,1.21316,0.94263,0.90131,0.00997288,0.00997288,0.00997288
12,3798.79,0.93898,0.54334,0.85542,0.47842,0.36894,0.37144,0.22498,1.19994,0.92656,0.89978,0.0099672,0.0099672,0.0099672
13,4109.38,0.92527,0.53463,0.85374,0.4769,0.35837,0.36795,0.22227,1.20821,0.92438,0.9007,0.00996097,0.00996097,0.00996097
14,4420.83,0.91733,0.5303,0.85165,0.46517,0.3743,0.37408,0.22736,1.19457,0.92023,0.89815,0.0099542,0.0099542,0.0099542
15,4733.55,0.89772,0.51555,0.84836,0.47596,0.36742,0.37469,0.22634,1.18973,0.91386,0.89702,0.0099469,0.0099469,0.0099469
16,5045.75,0.89347,0.51444,0.84765,0.47577,0.37487,0.37769,0.23002,1.181,0.90515,0.8947,0.00993906,0.00993906,0.00993906
17,5357.58,0.87629,0.50442,0.84496,0.48905,0.37706,0.38145,0.22998,1.18304,0.90033,0.89398,0.00993068,0.00993068,0.00993068
18,5669.79,0.8735,0.50267,0.84453,0.49161,0.37464,0.38403,0.23257,1.18056,0.90003,0.894,0.00992177,0.00992177,0.00992177
19,5981.53,0.86414,0.49918,0.8433,0.49571,0.37073,0.38294,0.23069,1.18131,0.9005,0.89298,0.00991232,0.00991232,0.00991232
20,6293.43,0.86015,0.49684,0.84263,0.49191,0.38318,0.39441,0.23895,1.17005,0.88959,0.89128,0.00990234,0.00990234,0.00990234
21,6605.2,0.86916,0.49754,0.84008,0.49744,0.38377,0.39378,0.23873,1.18286,0.83847,0.89203,0.00989183,0.00989183,0.00989183
22,6916.03,0.8652,0.49293,0.83959,0.5031,0.39197,0.39927,0.24252,1.17389,0.83675,0.88917,0.00988079,0.00988079,0.00988079
23,7227.46,0.85246,0.48573,0.83804,0.50361,0.39554,0.4028,0.24518,1.17412,0.82934,0.88883,0.00986922,0.00986922,0.00986922
24,7540.18,0.85001,0.48262,0.83752,0.50994,0.3916,0.40381,0.2459,1.17418,0.83021,0.88804,0.00985711,0.00985711,0.00985711
25,7850.99,0.84575,0.48143,0.83709,0.50805,0.40343,0.4058,0.24657,1.16658,0.82668,0.88791,0.00984449,0.00984449,0.00984449
26,8162.18,0.84319,0.47918,0.83602,0.5029,0.39864,0.40752,0.24771,1.16823,0.81772,0.88706,0.00983133,0.00983133,0.00983133
27,8473.39,0.83639,0.47477,0.8355,0.50773,0.39411,0.40627,0.24743,1.16309,0.81921,0.88651,0.00981765,0.00981765,0.00981765
28,8783.81,0.83228,0.47312,0.83511,0.51964,0.3986,0.41132,0.25047,1.15701,0.81361,0.88449,0.00980345,0.00980345,0.00980345
29,9094.81,0.82469,0.46899,0.8331,0.51362,0.40248,0.41496,0.25251,1.15677,0.81061,0.88467,0.00978873,0.00978873,0.00978873
30,9406.25,0.82187,0.46638,0.83328,0.52542,0.40186,0.41799,0.25512,1.1575,0.80734,0.88485,0.00977349,0.00977349,0.00977349
31,9717.03,0.81874,0.46464,0.83327,0.50958,0.407,0.41336,0.25322,1.15576,0.80795,0.88462,0.00975773,0.00975773,0.00975773
32,10027,0.81508,0.46117,0.83189,0.52067,0.3973,0.41668,0.25618,1.15334,0.80595,0.88397,0.00974145,0.00974145,0.00974145
33,10338.8,0.81156,0.45956,0.83209,0.50706,0.41329,0.41755,0.25633,1.1524,0.80573,0.88382,0.00972466,0.00972466,0.00972466
34,10651.6,0.80901,0.4584,0.83128,0.51745,0.41379,0.42151,0.25784,1.15276,0.80436,0.88418,0.00970736,0.00970736,0.00970736
35,10965.8,0.80342,0.4545,0.83043,0.51793,0.40829,0.42093,0.25803,1.15192,0.80319,0.88397,0.00968955,0.00968955,0.00968955
36,11279.5,0.80281,0.4554,0.83022,0.52375,0.41156,0.42222,0.25855,1.14903,0.801,0.88262,0.00967122,0.00967122,0.00967122
37,11593.3,0.80183,0.45538,0.8307,0.53654,0.4074,0.42503,0.26079,1.14737,0.79536,0.88157,0.00965239,0.00965239,0.00965239
38,11907.4,0.79527,0.44921,0.82919,0.52745,0.41025,0.42452,0.26067,1.14541,0.79684,0.88111,0.00963306,0.00963306,0.00963306
39,12218.8,0.78996,0.44712,0.82862,0.51555,0.41493,0.42216,0.25901,1.14523,0.79732,0.8813,0.00961322,0.00961322,0.00961322
40,12530.8,0.79162,0.44897,0.82869,0.52378,0.41453,0.42436,0.26011,1.14579,0.79683,0.88091,0.00959289,0.00959289,0.00959289
41,12841.3,0.78978,0.44588,0.83079,0.53559,0.41274,0.42719,0.26105,1.14837,0.79478,0.88359,0.00957205,0.00957205,0.00957205
42,13152.9,0.78668,0.4419,0.83309,0.534,0.41638,0.42972,0.26308,1.15066,0.79237,0.88645,0.00955072,0.00955072,0.00955072
43,13465.9,0.79233,0.44324,0.83618,0.53342,0.41637,0.42905,0.26256,1.15309,0.79356,0.88936,0.00952889,0.00952889,0.00952889
44,13776.6,0.79116,0.44162,0.83874,0.52796,0.41435,0.42852,0.26233,1.15883,0.7926,0.89291,0.00950658,0.00950658,0.00950658
45,14087.9,0.79274,0.44187,0.8412,0.52989,0.41857,0.42798,0.26235,1.16239,0.79232,0.89525,0.00948377,0.00948377,0.00948377
46,14398.7,0.79258,0.43797,0.84335,0.52483,0.42284,0.42919,0.26281,1.1673,0.79241,0.8988,0.00946048,0.00946048,0.00946048
47,14708.1,0.79149,0.43748,0.84609,0.53413,0.42275,0.43049,0.26391,1.16977,0.79181,0.90157,0.00943671,0.00943671,0.00943671
48,15019.4,0.79397,0.43758,0.84853,0.53971,0.42021,0.43117,0.26444,1.16919,0.7907,0.90424,0.00941245,0.00941245,0.00941245
49,15329.5,0.79491,0.43542,0.85059,0.53549,0.42202,0.43216,0.26579,1.17084,0.78651,0.90675,0.00938772,0.00938772,0.00938772
50,15639.7,0.79371,0.43428,0.85334,0.53428,0.42398,0.43333,0.26633,1.17315,0.78532,0.90937,0.00936251,0.00936251,0.00936251
51,15949.1,0.79103,0.43089,0.8558,0.5381,0.42263,0.43456,0.26684,1.17547,0.78522,0.91201,0.00933683,0.00933683,0.00933683
52,16259.9,0.79259,0.43039,0.85763,0.53311,0.42749,0.43411,0.26728,1.17886,0.78433,0.91498,0.00931067,0.00931067,0.00931067
53,16571.3,0.79455,0.43,0.8603,0.53458,0.42533,0.43448,0.26743,1.18294,0.78284,0.91802,0.00928405,0.00928405,0.00928405
54,16882.2,0.79473,0.42847,0.86298,0.53554,0.42559,0.43509,0.26756,1.18649,0.78247,0.92082,0.00925697,0.00925697,0.00925697
55,17193.9,0.7949,0.42703,0.86582,0.53164,0.42801,0.43605,0.2683,1.18948,0.78252,0.92364,0.00922942,0.00922942,0.00922942
56,17505.8,0.79942,0.4288,0.86883,0.53133,0.42893,0.43567,0.26818,1.19215,0.78155,0.92636,0.00920142,0.00920142,0.00920142
57,17816.2,0.79992,0.4276,0.87149,0.53576,0.42658,0.43565,0.26843,1.19468,0.78143,0.92908,0.00917296,0.00917296,0.00917296
58,18126.5,0.7997,0.42638,0.87308,0.53634,0.42805,0.43594,0.26885,1.19788,0.78133,0.93207,0.00914405,0.00914405,0.00914405
59,18437.6,0.79831,0.42358,0.87584,0.5326,0.42835,0.43569,0.2686,1.20078,0.78012,0.9349,0.00911469,0.00911469,0.00911469
60,18748.4,0.80085,0.42359,0.87821,0.53253,0.42904,0.43621,0.26946,1.20463,0.77953,0.93751,0.00908488,0.00908488,0.00908488
61,19059.4,0.80078,0.42218,0.88063,0.5392,0.4254,0.43726,0.26966,1.2078,0.7789,0.9403,0.00905463,0.00905463,0.00905463
62,19370.5,0.80011,0.4202,0.88307,0.54152,0.42676,0.4372,0.2699,1.21127,0.77898,0.94303,0.00902395,0.00902395,0.00902395
63,19681.3,0.80284,0.41967,0.88543,0.54502,0.42533,0.43794,0.27041,1.21487,0.77854,0.94599,0.00899282,0.00899282,0.00899282
