epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.756,1.55198,1.45329,0.99779,0.47942,0.15597,0.134,0.07285,1.62246,1.5541,1.00426,0.0700158,0.00333157,0.00333157
2,435.462,1.48195,1.05317,0.96102,0.33347,0.17028,0.15928,0.08749,1.61368,1.39397,1.00352,0.0400157,0.00666473,0.00666473
3,636.847,1.47838,0.99325,0.959,0.24097,0.16804,0.15854,0.08844,1.62696,1.40981,1.0056,0.0100148,0.00999715,0.00999715
4,836.88,1.42312,0.93902,0.94696,0.25946,0.22491,0.18496,0.10238,1.56797,1.31915,0.98779,0.00999756,0.00999756,0.00999756
5,1036.86,1.35072,0.87322,0.93113,0.25938,0.23634,0.19337,0.1071,1.54671,1.27443,0.97864,0.00999566,0.00999566,0.00999566
6,1238.72,1.29913,0.83008,0.92122,0.26165,0.23847,0.20192,0.11466,1.50884,1.23502,0.9658,0.00999322,0.00999322,0.00999322
7,1439.11,1.26363,0.79876,0.91393,0.27108,0.25306,0.21069,0.11786,1.50558,1.21893,0.96542,0.00999023,0.00999023,0.00999023
8,1641.21,1.23861,0.77751,0.9077,0.2869,0.25028,0.2204,0.12352,1.49203,1.20643,0.95995,0.00998671,0.00998671,0.00998671
9,1842.85,1.21502,0.75582,0.90319,0.29607,0.25586,0.2263,0.1276,1.47356,1.16925,0.95684,0.00998264,0.00998264,0.00998264
10,2043.63,1.19385,0.74007,0.89819,0.28957,0.25929,0.22406,0.12759,1.47216,1.17728,0.95191,0.00997803,0.00997803,0.00997803
11,2246.23,1.1788,0.7279,0.89598,0.29346,0.25817,0.2292,0.13056,1.45639,1.16329,0.95091,0.00997288,0.00997288,0.00997288
12,2450.56,1.16704,0.7197,0.89342,0.3015,0.2614,0.22742,0.13066,1.43765,1.14465,0.94608,0.0099672,0.0099672,0.0099672
13,2650.38,1.15524,0.7123,0.89173,0.30953,0.26562,0.23896,0.1366,1.44413,1.14537,0.94637,0.00996097,0.00996097,0.00996097
14,2849.98,1.14826,0.70614,0.88919,0.33121,0.2713,0.246,0.13994,1.42213,1.13159,0.94134,0.0099542,0.0099542,0.0099542
15,3050.65,1.12709,0.68826,0.88517,0.32792,0.26852,0.24137,0.13752,1.42807,1.13241,0.94231,0.0099469,0.0099469,0.0099469
16,3249.44,1.12625,0.68856,0.88507,0.32297,0.27375,0.24545,0.14104,1.4207,1.12559,0.93998,0.00993906,0.00993906,0.00993906
17,3447.72,1.10986,0.6776,0.88207,0.34045,0.27502,0.24984,0.14281,1.41506,1.11716,0.93778,0.00993068,0.00993068,0.00993068
18,3648.69,1.1084,0.67541,0.8814,0.31037,0.27899,0.24985,0.14311,1.40937,1.11165,0.93785,0.00992177,0.00992177,0.00992177
19,3846.23,1.09768,0.66996,0.87965,0.33433,0.27683,0.25145,0.14479,1.40716,1.11258,0.93278,0.00991232,0.00991232,0.00991232
20,4046.58,1.09719,0.67023,0.87941,0.33648,0.27579,0.2565,0.14816,1.39808,1.0971,0.93405,0.00990234,0.00990234,0.00990234
21,4244.03,1.11073,0.67217,0.87691,0.34328,0.2849,0.25759,0.14763,1.41675,1.08156,0.93485,0.00989183,0.00989183,0.00989183
22,4441.49,1.10774,0.67016,0.87646,0.34834,0.28179,0.26076,0.14972,1.41169,1.07576,0.93329,0.00988079,0.00988079,0.00988079
23,4637.89,1.09412,0.6603,0.87403,0.34176,0.28551,0.26127,0.15025,1.40395,1.06561,0.93086,0.00986922,0.00986922,0.00986922
24,4837.38,1.09241,0.65893,0.87362,0.3473,0.28384,0.26616,0.15297,1.40206,1.06301,0.93162,0.00985711,0.00985711,0.00985711
25,5037.92,1.08902,0.65687,0.87308,0.34705,0.28696,0.26494,0.15289,1.40104,1.05974,0.93014,0.00984449,0.00984449,0.00984449
26,5235.79,1.08713,0.65539,0.87223,0.3518,0.28339,0.26666,0.15495,1.39611,1.06003,0.92959,0.00983133,0.00983133,0.00983133
27,5435.59,1.07959,0.6489,0.8714,0.35189,0.2874,0.26785,0.15654,1.39295,1.05364,0.92923,0.00981765,0.00981765,0.00981765
28,5634.77,1.07785,0.64869,0.87141,0.36136,0.2891,0.26897,0.15598,1.39519,1.05399,0.92792,0.00980345,0.00980345,0.00980345
29,5833.35,1.07128,0.64427,0.8695,0.36381,0.29239,0.27335,0.15823,1.39244,1.04645,0.93,0.00978873,0.00978873,0.00978873
30,6031.62,1.07003,0.64267,0.87006,0.35234,0.29391,0.27172,0.15837,1.3856,1.04873,0.92671,0.00977349,0.00977349,0.00977349
31,6228.34,1.06536,0.64011,0.86924,0.35553,0.29619,0.27307,0.15938,1.38447,1.04543,0.92629,0.00975773,0.00975773,0.00975773
32,6425.83,1.06128,0.63561,0.86771,0.36385,0.28932,0.27322,0.15881,1.38832,1.04179,0.92674,0.00974145,0.00974145,0.00974145
33,6622.89,1.05973,0.63612,0.86817,0.36008,0.29672,0.27672,0.16056,1.38549,1.03995,0.92657,0.00972466,0.00972466,0.00972466
34,6821.02,1.05627,0.63342,0.86754,0.3633,0.29938,0.27825,0.16247,1.38165,1.03458,0.92578,0.00970736,0.00970736,0.00970736
35,7018.9,1.04956,0.62894,0.86601,0.36202,0.30011,0.27836,0.16256,1.38135,1.03318,0.92574,0.00968955,0.00968955,0.00968955
36,7217.94,1.05091,0.6305,0.86633,0.36155,0.30042,0.27988,0.16329,1.37923,1.03305,0.92434,0.00967122,0.00967122,0.00967122
37,7415.28,1.05035,0.63188,0.86659,0.37135,0.30127,0.28093,0.16333,1.37959,1.02909,0.92434,0.00965239,0.00965239,0.00965239
38,7613.85,1.04554,0.62595,0.86525,0.3636,0.30261,0.2798,0.16345,1.37523,1.02822,0.9231,0.00963306,0.00963306,0.00963306
39,7815.95,1.0413,0.62294,0.86484,0.36719,0.30365,0.28127,0.16376,1.37704,1.02691,0.92304,0.00961322,0.00961322,0.00961322
40,8013.87,1.04017,0.62383,0.86469,0.37405,0.30016,0.28188,0.16387,1.37296,1.02356,0.92289,0.00959289,0.00959289,0.00959289
41,8211.32,1.04146,0.62202,0.86692,0.37767,0.30327,0.28455,0.16467,1.37643,1.02251,0.92478,0.00957205,0.00957205,0.00957205
42,8408.27,1.0393,0.61689,0.86923,0.37259,0.3018,0.28392,0.16472,1.38221,1.02113,0.92802,0.00955072,0.00955072,0.00955072
43,8606.98,1.04509,0.61853,0.87212,0.37542,0.30261,0.28337,0.16496,1.38631,1.01979,0.93109,0.00952889,0.00952889,0.00952889
44,8803.22,1.04579,0.61841,0.87506,0.37527,0.30257,0.28348,0.16529,1.38804,1.01704,0.9333,0.00950658,0.00950658,0.00950658
45,9004.69,1.0483,0.61831,0.87751,0.37583,0.3033,0.28442,0.16573,1.39424,1.01859,0.93722,0.00948377,0.00948377,0.00948377
46,9204.75,1.04816,0.61365,0.87992,0.37419,0.30586,0.28484,0.16636,1.39458,1.01681,0.93941,0.00946048,0.00946048,0.00946048
47,9404.48,1.04936,0.61447,0.88302,0.37558,0.3062,0.28675,0.16698,1.39823,1.0157,0.94225,0.00943671,0.00943671,0.00943671
48,9603.21,1.05163,0.61389,0.88519,0.37808,0.30711,0.28622,0.16688,1.39893,1.01363,0.9441,0.00941245,0.00941245,0.00941245
49,9801.6,1.05513,0.61225,0.88738,0.38383,0.30263,0.2863,0.16721,1.40314,1.01184,0.94681,0.00938772,0.00938772,0.00938772
50,10000.8,1.05302,0.60966,0.88961,0.38326,0.30436,0.28672,0.16756,1.40713,1.01178,0.94966,0.00936251,0.00936251,0.00936251
51,10200.3,1.05072,0.60637,0.89212,0.3865,0.3049,0.28637,0.16725,1.41056,1.01075,0.95222,0.00933683,0.00933683,0.00933683
52,10398,1.05346,0.60509,0.89425,0.38078,0.30661,0.28662,0.16704,1.41463,1.00914,0.95548,0.00931067,0.00931067,0.00931067
53,10593.1,1.05774,0.60687,0.89721,0.37723,0.30794,0.28731,0.16749,1.4179,1.00867,0.95793,0.00928405,0.00928405,0.00928405
54,10784.4,1.0585,0.60473,0.90015,0.37779,0.30866,0.28818,0.16843,1.42141,1.00775,0.96053,0.00925697,0.00925697,0.00925697
