epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1049.18,3.83271,4.28253,2.21676,0.12148,0.10569,0.08947,0.03784,2.31928,2.97101,1.25619,0.0700201,0.0033311,0.0033311
2,1853.15,1.90524,1.51601,1.12906,0.24921,0.25956,0.20029,0.0911,1.91788,1.86211,1.06806,0.0399981,0.00664244,0.00664244
3,2723.63,1.63506,1.12247,1.02841,0.31327,0.34186,0.25213,0.12989,1.74665,1.69966,1.026,0.00995415,0.00993178,0.00993178
4,3527.23,1.48317,0.91206,0.9799,0.31284,0.33055,0.25874,0.12958,1.7793,1.63851,1.01943,0.009901,0.009901,0.009901
5,4197.88,1.38372,0.79187,0.9523,0.35794,0.31683,0.27623,0.14757,1.65093,1.52266,0.98967,0.009868,0.009868,0.009868
6,4894.37,1.30237,0.72417,0.93544,0.36418,0.32655,0.2703,0.14457,1.64368,1.61634,0.9838,0.009835,0.009835,0.009835
7,5482.42,1.23432,0.67588,0.92191,0.38445,0.34336,0.29286,0.15845,1.61291,1.50097,0.97976,0.009802,0.009802,0.009802
8,6080.93,1.19078,0.64349,0.9137,0.39907,0.35855,0.30838,0.16719,1.61829,1.45751,0.97847,0.009769,0.009769,0.009769
9,6653.78,1.16417,0.62074,0.90776,0.38686,0.31882,0.28031,0.14823,1.60563,1.52905,0.97644,0.009736,0.009736,0.009736
10,7252.66,1.13714,0.60022,0.90098,0.36542,0.33526,0.2948,0.16021,1.55992,1.48111,0.9672,0.009703,0.009703,0.009703
11,7796.33,1.11814,0.58662,0.89711,0.34379,0.34193,0.28869,0.15507,1.58077,1.4506,0.96833,0.00967,0.00967,0.00967
12,8356.6,1.10105,0.57285,0.89275,0.34355,0.32817,0.27847,0.15109,1.56068,1.48338,0.96591,0.009637,0.009637,0.009637
13,8942.59,1.08546,0.56033,0.89075,0.36105,0.32799,0.29145,0.15995,1.5693,1.57892,0.96764,0.009604,0.009604,0.009604
14,9454.43,1.07152,0.55163,0.8879,0.36549,0.35061,0.30565,0.17119,1.53291,1.43872,0.9635,0.009571,0.009571,0.009571
15,9936.8,1.05936,0.54248,0.88453,0.36898,0.33629,0.29953,0.16746,1.54894,1.4765,0.96455,0.009538,0.009538,0.009538
16,10450.9,1.04546,0.53315,0.88193,0.35585,0.34144,0.3012,0.16699,1.55315,1.46565,0.96824,0.009505,0.009505,0.009505
17,10957.3,1.03973,0.52887,0.88077,0.37219,0.34985,0.30785,0.17198,1.53101,1.45356,0.96046,0.009472,0.009472,0.009472
18,11461.9,1.02481,0.51957,0.87765,0.36561,0.31985,0.28718,0.1563,1.56214,1.52711,0.96436,0.009439,0.009439,0.009439
19,11967,1.01809,0.51436,0.87581,0.39259,0.33357,0.30513,0.17244,1.54228,1.43304,0.95532,0.009406,0.009406,0.009406
20,12455.6,1.00669,0.50889,0.87389,0.38801,0.32781,0.29956,0.17021,1.51405,1.43538,0.95052,0.009373,0.009373,0.009373
21,12940.4,0.9947,0.50172,0.87114,0.38373,0.34308,0.313,0.17923,1.5239,1.41777,0.95991,0.00934,0.00934,0.00934
22,13408.6,0.98771,0.49862,0.86971,0.37828,0.32805,0.29814,0.16864,1.53629,1.43212,0.95832,0.009307,0.009307,0.009307
23,13860,0.98511,0.49673,0.86909,0.37299,0.33635,0.30708,0.17223,1.53109,1.42677,0.95596,0.009274,0.009274,0.009274
24,14335.2,0.97363,0.49098,0.86702,0.37801,0.33759,0.30559,0.17083,1.53927,1.38358,0.95638,0.009241,0.009241,0.009241
25,14803.8,0.96767,0.48745,0.86595,0.37062,0.33136,0.30013,0.16976,1.51478,1.35779,0.95429,0.009208,0.009208,0.009208
26,15280,0.95922,0.48235,0.86409,0.3712,0.33156,0.30218,0.17225,1.51952,1.31308,0.95712,0.009175,0.009175,0.009175
27,15764.7,0.95544,0.48158,0.8644,0.36523,0.33248,0.30046,0.16958,1.53967,1.34731,0.95916,0.009142,0.009142,0.009142
28,16213.8,0.94454,0.47427,0.86184,0.37668,0.33471,0.30632,0.17583,1.5149,1.31468,0.95566,0.009109,0.009109,0.009109
29,16687.7,0.94293,0.47315,0.86179,0.36527,0.33904,0.30442,0.17467,1.52467,1.32386,0.95804,0.009076,0.009076,0.009076
30,17151.5,0.93672,0.46976,0.86017,0.36562,0.34962,0.30904,0.17511,1.5388,1.32382,0.95974,0.009043,0.009043,0.009043
31,17657.6,0.93407,0.46868,0.86063,0.3619,0.3371,0.30309,0.17026,1.53422,1.32666,0.95824,0.00901,0.00901,0.00901
