epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.716,1.17358,0.78198,0.90852,0.44259,0.35023,0.33761,0.20173,1.22738,0.98785,0.9127,0.0700079,0.00333245,0.00333245
2,1583.86,1.12969,0.65746,0.89397,0.43352,0.34346,0.33445,0.20228,1.21305,0.98181,0.91369,0.0400077,0.00666561,0.00666561
3,2337.43,1.1537,0.67751,0.89976,0.41537,0.33139,0.31879,0.189,1.26266,1.01266,0.93196,0.0100068,0.00999803,0.00999803
4,3084.86,1.13198,0.66502,0.89822,0.4219,0.3375,0.3266,0.19402,1.23934,1.00166,0.92365,0.00999756,0.00999756,0.00999756
5,3830.49,1.0676,0.62103,0.88528,0.44636,0.35613,0.34825,0.20823,1.22258,0.97104,0.91607,0.00999566,0.00999566,0.00999566
6,4581.72,1.02157,0.58918,0.87628,0.45909,0.35748,0.35624,0.21739,1.19833,0.94372,0.9105,0.00999322,0.00999322,0.00999322
7,5331,0.98838,0.56701,0.87067,0.45554,0.36641,0.3574,0.21618,1.1933,0.9409,0.90718,0.00999023,0.00999023,0.00999023
8,6079.66,0.96291,0.5502,0.86561,0.47905,0.36825,0.37404,0.22683,1.17955,0.92157,0.90449,0.00998671,0.00998671,0.00998671
9,6828.09,0.93909,0.5353,0.8618,0.50104,0.36931,0.38563,0.23398,1.16388,0.91207,0.89852,0.00998264,0.00998264,0.00998264
10,7576.73,0.91983,0.5238,0.85787,0.50146,0.38111,0.3943,0.24114,1.16216,0.89287,0.89859,0.00997803,0.00997803,0.00997803
11,8325.04,0.90222,0.51185,0.85522,0.50752,0.38381,0.3955,0.24427,1.15383,0.88484,0.89392,0.00997288,0.00997288,0.00997288
12,9073.05,0.88575,0.50158,0.85182,0.49943,0.39137,0.39968,0.24375,1.15809,0.88314,0.89644,0.0099672,0.0099672,0.0099672
13,9820.4,0.87393,0.49567,0.85065,0.50651,0.40242,0.4117,0.2529,1.13988,0.87204,0.89275,0.00996097,0.00996097,0.00996097
14,10572.4,0.86375,0.49082,0.84867,0.50706,0.40977,0.41303,0.2549,1.13928,0.8643,0.89158,0.0099542,0.0099542,0.0099542
15,11340.9,0.85101,0.48368,0.84666,0.51071,0.40558,0.41744,0.25775,1.13379,0.85814,0.89275,0.0099469,0.0099469,0.0099469
16,12106.4,0.84076,0.47707,0.84508,0.51618,0.40748,0.41662,0.25687,1.12624,0.86051,0.88868,0.00993906,0.00993906,0.00993906
17,12852.2,0.83055,0.46976,0.84282,0.53545,0.40567,0.42183,0.26019,1.12373,0.84997,0.8893,0.00993068,0.00993068,0.00993068
