epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7621,2.49635,2.60047,1.40492,0.29275,0.04752,0.05813,0.03179,2.07299,1.60268,1.15308,0.0700741,0.0033251,0.0033251
2,201.791,2.16125,1.52875,1.2447,0.21817,0.07725,0.08365,0.04502,1.85745,1.35178,1.09355,0.0400521,0.00663646,0.00663646
3,323.202,2.11146,1.4058,1.20941,0.13139,0.12132,0.08323,0.04292,1.86819,1.26972,1.10135,0.0100081,0.00992582,0.00992582
4,444.943,2.06349,1.34734,1.17928,0.33051,0.06749,0.10352,0.05753,1.73669,1.20345,1.06693,0.009901,0.009901,0.009901
5,567.912,1.97963,1.28014,1.1556,0.26297,0.11582,0.09891,0.05327,1.71412,1.13872,1.06264,0.009868,0.009868,0.009868
6,690.994,1.93782,1.2401,1.13241,0.30195,0.12663,0.11909,0.06705,1.69989,1.11904,1.046,0.009835,0.009835,0.009835
7,815.914,1.89038,1.20319,1.12221,0.31756,0.11181,0.12526,0.07099,1.64272,1.09453,1.03763,0.009802,0.009802,0.009802
8,939.628,1.84945,1.17168,1.10996,0.18849,0.1568,0.12483,0.07017,1.58664,1.04053,1.01797,0.009769,0.009769,0.009769
9,1062.78,1.83591,1.15778,1.10537,0.23974,0.14068,0.13947,0.07977,1.57505,1.03246,1.02112,0.009736,0.009736,0.009736
10,1185.79,1.81097,1.14083,1.10293,0.34915,0.13651,0.14724,0.08466,1.56849,1.02536,1.01948,0.009703,0.009703,0.009703
11,1308.66,1.80087,1.12699,1.09217,0.32777,0.1373,0.14444,0.08585,1.55658,0.99952,1.00946,0.00967,0.00967,0.00967
12,1432.34,1.776,1.10358,1.08451,0.37697,0.14113,0.1503,0.08809,1.54437,1.00395,1.01319,0.009637,0.009637,0.009637
13,1556.35,1.76715,1.09653,1.08256,0.37142,0.14748,0.15871,0.09219,1.5103,0.97629,0.9998,0.009604,0.009604,0.009604
14,1679.52,1.73578,1.07881,1.07412,0.26605,0.12613,0.15067,0.08765,1.51497,1.0006,0.99546,0.009571,0.009571,0.009571
15,1803.18,1.73954,1.07502,1.0696,0.22039,0.17995,0.1415,0.08168,1.47912,0.94794,0.99419,0.009538,0.009538,0.009538
16,1926.32,1.72092,1.06458,1.06932,0.39695,0.14529,0.17451,0.10516,1.4779,0.96156,0.994,0.009505,0.009505,0.009505
17,2048.56,1.70664,1.05441,1.06587,0.33463,0.16532,0.15166,0.09127,1.47917,0.952,0.99277,0.009472,0.009472,0.009472
18,2171.9,1.70223,1.04305,1.06103,0.25132,0.20514,0.16567,0.0978,1.46367,0.94487,0.98974,0.009439,0.009439,0.009439
19,2294.82,1.6925,1.03393,1.05972,0.33632,0.16776,0.14631,0.08742,1.47177,0.93124,0.98935,0.009406,0.009406,0.009406
20,2417.87,1.68515,1.03202,1.05912,0.23722,0.18422,0.14982,0.08748,1.46274,0.92666,0.98847,0.009373,0.009373,0.009373
21,2541.49,1.6744,1.02871,1.05835,0.23551,0.1834,0.15446,0.09204,1.46043,0.91971,0.98964,0.00934,0.00934,0.00934
22,2663.21,1.68143,1.02863,1.05789,0.24122,0.17973,0.16138,0.09675,1.45086,0.9213,0.98334,0.009307,0.009307,0.009307
23,2787.09,1.67613,1.02298,1.0551,0.23671,0.19008,0.16891,0.10275,1.43875,0.9189,0.98195,0.009274,0.009274,0.009274
24,2910.7,1.67084,1.0183,1.05309,0.25727,0.19185,0.16733,0.09876,1.43803,0.9152,0.98359,0.009241,0.009241,0.009241
25,3033.42,1.66234,1.01136,1.0518,0.30711,0.16372,0.17029,0.1027,1.43438,0.9114,0.98133,0.009208,0.009208,0.009208
26,3156.82,1.65125,1.00413,1.04899,0.22583,0.2054,0.16875,0.10175,1.41105,0.89586,0.9773,0.009175,0.009175,0.009175
27,3280.84,1.65026,1.00186,1.04839,0.26308,0.19194,0.16773,0.10061,1.42374,0.89313,0.97668,0.009142,0.009142,0.009142
28,3405.39,1.6355,0.99674,1.04318,0.22037,0.19996,0.16018,0.09711,1.41487,0.89563,0.97512,0.009109,0.009109,0.009109
29,3530.34,1.64847,0.99545,1.04665,0.24325,0.20499,0.17003,0.10156,1.41286,0.89151,0.97498,0.009076,0.009076,0.009076
30,3653.91,1.62993,0.98426,1.04377,0.25692,0.1983,0.1736,0.10465,1.41082,0.89086,0.97508,0.009043,0.009043,0.009043
31,3777.4,1.61639,0.97838,1.04053,0.26164,0.20136,0.17153,0.10368,1.39883,0.87873,0.97511,0.00901,0.00901,0.00901
32,3901.15,1.62491,0.98213,1.04076,0.28795,0.18634,0.1815,0.11076,1.39993,0.88277,0.97355,0.008977,0.008977,0.008977
33,4024.54,1.61839,0.97745,1.03911,0.25754,0.20986,0.17883,0.10776,1.39345,0.88351,0.97013,0.008944,0.008944,0.008944
34,4147.96,1.62005,0.97899,1.03794,0.27418,0.18921,0.17763,0.10912,1.41115,0.88351,0.97281,0.008911,0.008911,0.008911
35,4272.2,1.61774,0.97352,1.0384,0.25022,0.196,0.17986,0.11101,1.38948,0.87075,0.97093,0.008878,0.008878,0.008878
36,4395.55,1.6213,0.97326,1.03668,0.28543,0.20357,0.18643,0.11388,1.39115,0.87202,0.96844,0.008845,0.008845,0.008845
37,4518.71,1.61812,0.97033,1.038,0.27323,0.20352,0.17205,0.1041,1.3836,0.87228,0.96719,0.008812,0.008812,0.008812
38,4642.54,1.6061,0.96088,1.03315,0.25418,0.21833,0.17895,0.10898,1.3864,0.86869,0.96786,0.008779,0.008779,0.008779
39,4765.4,1.61139,0.96703,1.03549,0.25882,0.21559,0.17949,0.10834,1.38966,0.85864,0.97015,0.008746,0.008746,0.008746
40,4888.68,1.61026,0.96659,1.03538,0.27426,0.20229,0.18106,0.11064,1.37684,0.87052,0.96519,0.008713,0.008713,0.008713
41,5011.73,1.61142,0.96034,1.03332,0.25036,0.22247,0.17605,0.10592,1.37802,0.86048,0.9645,0.00868,0.00868,0.00868
42,5135.32,1.58799,0.95102,1.03072,0.26754,0.22009,0.18533,0.11165,1.37257,0.856,0.96452,0.008647,0.008647,0.008647
43,5258.76,1.5956,0.95205,1.02904,0.2607,0.21703,0.18131,0.10971,1.37029,0.85006,0.96451,0.008614,0.008614,0.008614
44,5381.65,1.59701,0.95015,1.03003,0.24674,0.22183,0.17971,0.11031,1.367,0.8553,0.96271,0.008581,0.008581,0.008581
45,5504.64,1.57384,0.93882,1.02931,0.27002,0.2223,0.18391,0.11125,1.36576,0.85457,0.961,0.008548,0.008548,0.008548
46,5628.09,1.59473,0.94981,1.02962,0.24647,0.22686,0.17861,0.1096,1.36546,0.84156,0.96108,0.008515,0.008515,0.008515
47,5751.87,1.5724,0.93691,1.02716,0.25262,0.23138,0.18774,0.11434,1.36051,0.83909,0.962,0.008482,0.008482,0.008482
48,5874.47,1.58438,0.94642,1.0282,0.25929,0.22577,0.19069,0.11582,1.35527,0.84176,0.95931,0.008449,0.008449,0.008449
49,5997.35,1.57205,0.93691,1.02537,0.25383,0.2312,0.19061,0.1164,1.36029,0.8405,0.96004,0.008416,0.008416,0.008416
50,6120.24,1.57478,0.93808,1.02715,0.26024,0.23257,0.19256,0.11691,1.35278,0.83378,0.95977,0.008383,0.008383,0.008383
51,6243.39,1.579,0.94078,1.02798,0.27622,0.21822,0.18666,0.11335,1.35556,0.83716,0.95923,0.00835,0.00835,0.00835
52,6367.14,1.56279,0.92912,1.02257,0.26674,0.22854,0.19063,0.11605,1.35396,0.83444,0.95839,0.008317,0.008317,0.008317
53,6490.99,1.57659,0.93912,1.02628,0.27,0.21779,0.18167,0.1087,1.34564,0.83363,0.95737,0.008284,0.008284,0.008284
54,6621.54,1.57008,0.92731,1.02475,0.2661,0.2256,0.18634,0.11336,1.34726,0.83186,0.95851,0.008251,0.008251,0.008251
55,6747.29,1.57002,0.93289,1.02449,0.27575,0.21953,0.1875,0.11507,1.34541,0.82593,0.95795,0.008218,0.008218,0.008218
56,6871.76,1.5649,0.92673,1.024,0.25633,0.24066,0.19171,0.11601,1.34159,0.82378,0.95711,0.008185,0.008185,0.008185
57,6995.16,1.56235,0.9282,1.02346,0.26747,0.2227,0.18617,0.11328,1.33964,0.8258,0.95692,0.008152,0.008152,0.008152
58,7130.07,1.55414,0.92151,1.02283,0.27868,0.2215,0.19353,0.11715,1.33659,0.8251,0.9553,0.008119,0.008119,0.008119
59,7258.53,1.56208,0.91944,1.02301,0.26638,0.23027,0.1911,0.11548,1.3305,0.82002,0.95525,0.008086,0.008086,0.008086
60,7402.61,1.55153,0.91726,1.01857,0.26242,0.22477,0.17971,0.10802,1.33246,0.81801,0.95564,0.008053,0.008053,0.008053
61,7526.51,1.55662,0.91852,1.02065,0.27748,0.22344,0.19085,0.11668,1.32928,0.81824,0.95553,0.00802,0.00802,0.00802
62,7657.7,1.55218,0.91211,1.01974,0.26686,0.22462,0.18901,0.11555,1.33004,0.81767,0.95366,0.007987,0.007987,0.007987
63,7782.56,1.55394,0.91782,1.02047,0.26633,0.23938,0.19677,0.12015,1.33008,0.81314,0.95447,0.007954,0.007954,0.007954
64,7910.91,1.53505,0.90329,1.01566,0.27482,0.23333,0.19525,0.11923,1.33204,0.81588,0.95355,0.007921,0.007921,0.007921
65,8040.01,1.55427,0.91814,1.01899,0.27623,0.22982,0.18849,0.1141,1.328,0.81145,0.95352,0.007888,0.007888,0.007888
66,8164.86,1.54133,0.90964,1.01665,0.2559,0.21351,0.17742,0.10803,1.32682,0.81276,0.95364,0.007855,0.007855,0.007855
67,8300.13,1.53212,0.90744,1.01866,0.26982,0.2208,0.18504,0.11174,1.32122,0.81219,0.95178,0.007822,0.007822,0.007822
68,8426.49,1.53625,0.90692,1.01712,0.28623,0.22104,0.19114,0.11662,1.32227,0.81061,0.95135,0.007789,0.007789,0.007789
69,8549.64,1.5322,0.9034,1.01804,0.26941,0.24314,0.19493,0.11981,1.3212,0.81049,0.95122,0.007756,0.007756,0.007756
70,8674.03,1.52881,0.9006,1.0167,0.2839,0.24144,0.19978,0.12202,1.3182,0.80526,0.9496,0.007723,0.007723,0.007723
71,8798.81,1.54202,0.90217,1.01695,0.28788,0.23334,0.19753,0.12045,1.31904,0.80691,0.94916,0.00769,0.00769,0.00769
72,8933.65,1.53056,0.89819,1.01535,0.26908,0.22786,0.19118,0.1161,1.31489,0.80161,0.9508,0.007657,0.007657,0.007657
73,9073.76,1.53969,0.90293,1.01568,0.28367,0.22478,0.1943,0.11869,1.31541,0.80367,0.95063,0.007624,0.007624,0.007624
74,9201.73,1.53318,0.90077,1.01288,0.27878,0.22385,0.19379,0.11756,1.31571,0.80384,0.94971,0.007591,0.007591,0.007591
75,9330.07,1.5258,0.8968,1.01236,0.28737,0.2393,0.20178,0.12332,1.31094,0.80021,0.94891,0.007558,0.007558,0.007558
76,9452.69,1.53009,0.89836,1.01335,0.27953,0.23629,0.2003,0.12213,1.3116,0.79979,0.94963,0.007525,0.007525,0.007525
77,9576.67,1.53389,0.89566,1.01054,0.28656,0.23857,0.20076,0.12311,1.30929,0.7953,0.94861,0.007492,0.007492,0.007492
78,9701.29,1.5179,0.89047,1.01357,0.28301,0.23855,0.2008,0.12335,1.30612,0.79607,0.94776,0.007459,0.007459,0.007459
79,9838.65,1.51597,0.89037,1.01133,0.28826,0.22979,0.19789,0.122,1.30693,0.797,0.94829,0.007426,0.007426,0.007426
80,9961.76,1.53393,0.89628,1.01398,0.28429,0.2296,0.19788,0.12245,1.30577,0.79346,0.94763,0.007393,0.007393,0.007393
81,10098.9,1.53022,0.89654,1.01528,0.27528,0.22862,0.19228,0.11735,1.30495,0.79344,0.94801,0.00736,0.00736,0.00736
82,10223.2,1.52237,0.88829,1.01082,0.28463,0.23948,0.20241,0.12385,1.30439,0.79455,0.94775,0.007327,0.007327,0.007327
83,10352.2,1.51763,0.8891,1.01153,0.2795,0.24382,0.2043,0.12532,1.30603,0.79086,0.94804,0.007294,0.007294,0.007294
84,10478.9,1.51461,0.88571,1.01091,0.28754,0.25042,0.20805,0.12738,1.3017,0.79251,0.94693,0.007261,0.007261,0.007261
85,10603,1.51742,0.88749,1.00961,0.28658,0.24383,0.20505,0.12545,1.30264,0.78971,0.94645,0.007228,0.007228,0.007228
86,10735.8,1.5251,0.88942,1.01194,0.27932,0.23428,0.19671,0.11964,1.30203,0.78953,0.94603,0.007195,0.007195,0.007195
87,10860.2,1.51039,0.88116,1.01099,0.27587,0.22714,0.19099,0.11652,1.30144,0.78711,0.94601,0.007162,0.007162,0.007162
88,10983.6,1.51887,0.88941,1.00911,0.28074,0.24052,0.20429,0.12562,1.30082,0.78811,0.94655,0.007129,0.007129,0.007129
89,11108.6,1.51349,0.88393,1.0103,0.27685,0.24047,0.20264,0.12439,1.29776,0.78905,0.94496,0.007096,0.007096,0.007096
90,11232.5,1.50823,0.88019,1.0084,0.29008,0.24647,0.20974,0.12947,1.29881,0.78773,0.94575,0.007063,0.007063,0.007063
91,11361.6,1.50576,0.88191,1.01074,0.28294,0.23858,0.20274,0.12471,1.29533,0.786,0.94531,0.00703,0.00703,0.00703
92,11490.3,1.50919,0.87925,1.00897,0.27995,0.23582,0.19958,0.12209,1.29294,0.7834,0.94475,0.006997,0.006997,0.006997
93,11629,1.50008,0.87301,1.0088,0.28568,0.23929,0.20293,0.12462,1.29517,0.78226,0.94563,0.006964,0.006964,0.006964
94,11752.9,1.50391,0.87821,1.00707,0.2847,0.24716,0.20783,0.12862,1.2947,0.78129,0.94509,0.006931,0.006931,0.006931
95,11876.7,1.50398,0.8751,1.00923,0.29452,0.25127,0.21346,0.13246,1.29392,0.78192,0.94534,0.006898,0.006898,0.006898
96,12000.7,1.50546,0.88082,1.00842,0.29354,0.25153,0.21319,0.13156,1.29067,0.78288,0.94459,0.006865,0.006865,0.006865
97,12127.9,1.50494,0.87298,1.00775,0.28772,0.21461,0.19198,0.11824,1.29172,0.78247,0.94503,0.006832,0.006832,0.006832
98,12255,1.50821,0.87148,1.00938,0.28537,0.25011,0.20949,0.12966,1.29066,0.78254,0.94451,0.006799,0.006799,0.006799
99,12385.7,1.49478,0.87045,1.00646,0.28229,0.2555,0.21257,0.1314,1.28855,0.78115,0.94377,0.006766,0.006766,0.006766
100,12520.3,1.50647,0.87461,1.00739,0.29143,0.25089,0.21365,0.13267,1.28727,0.78097,0.94367,0.006733,0.006733,0.006733
101,12649.3,1.50574,0.87502,1.01085,0.29536,0.24195,0.21136,0.13098,1.28658,0.77993,0.94326,0.0067,0.0067,0.0067
102,12784.9,1.49323,0.86733,1.00357,0.29669,0.24058,0.21009,0.12985,1.28584,0.77794,0.94321,0.006667,0.006667,0.006667
103,12917.1,1.49471,0.86673,1.00479,0.29878,0.23688,0.20641,0.12744,1.28618,0.77771,0.94312,0.006634,0.006634,0.006634
104,13050.9,1.50105,0.87363,1.00522,0.29417,0.23816,0.20719,0.12827,1.28533,0.77836,0.94313,0.006601,0.006601,0.006601
105,13174.1,1.49518,0.86769,1.00601,0.29664,0.24269,0.21004,0.12955,1.28538,0.77779,0.94316,0.006568,0.006568,0.006568
106,13299.1,1.50058,0.87074,1.00666,0.29514,0.25034,0.2142,0.13235,1.28393,0.7768,0.94246,0.006535,0.006535,0.006535
107,13421.5,1.49319,0.86427,1.00459,0.30549,0.24366,0.21424,0.13238,1.28434,0.77588,0.9429,0.006502,0.006502,0.006502
108,13546.8,1.49957,0.87069,1.0045,0.30197,0.23576,0.20917,0.12898,1.2841,0.77462,0.943,0.006469,0.006469,0.006469
109,13673.2,1.50671,0.87479,1.0073,0.2978,0.23669,0.20608,0.1271,1.2842,0.77467,0.9429,0.006436,0.006436,0.006436
110,13803.1,1.49454,0.86501,1.00455,0.29653,0.23906,0.20913,0.1294,1.28326,0.7748,0.94231,0.006403,0.006403,0.006403
111,13928.1,1.4777,0.85986,1.00173,0.29048,0.24292,0.20994,0.13014,1.28325,0.77465,0.94222,0.00637,0.00637,0.00637
112,14052.4,1.48388,0.86257,1.00504,0.29959,0.24881,0.21519,0.13356,1.28199,0.77432,0.94186,0.006337,0.006337,0.006337
113,14179.5,1.48796,0.85865,1.00342,0.29901,0.24903,0.21629,0.13415,1.28204,0.77499,0.9421,0.006304,0.006304,0.006304
114,14312,1.48943,0.8626,1.00328,0.30302,0.2481,0.21499,0.13375,1.28216,0.77462,0.94226,0.006271,0.006271,0.006271
115,14448.3,1.5034,0.86929,1.00658,0.29766,0.23707,0.208,0.1286,1.28032,0.7734,0.94207,0.006238,0.006238,0.006238
116,14586.8,1.48253,0.85486,1.00457,0.30172,0.2444,0.21148,0.13059,1.2792,0.7725,0.94162,0.006205,0.006205,0.006205
117,14731.8,1.48527,0.85892,1.00391,0.30478,0.24347,0.21194,0.13139,1.2789,0.77203,0.94196,0.006172,0.006172,0.006172
118,14857.2,1.48183,0.85619,1.002,0.30547,0.24408,0.21485,0.13254,1.27888,0.77096,0.94167,0.006139,0.006139,0.006139
119,14980.2,1.49173,0.86229,1.00319,0.30152,0.24514,0.21456,0.13259,1.27899,0.77058,0.94196,0.006106,0.006106,0.006106
120,15106.2,1.47766,0.85147,1.00028,0.30078,0.25309,0.21828,0.13531,1.27847,0.76977,0.94208,0.006073,0.006073,0.006073
121,15248.2,1.48332,0.85802,1.00209,0.2966,0.24229,0.21212,0.13104,1.27845,0.76948,0.94197,0.00604,0.00604,0.00604
122,15375.3,1.47925,0.85128,1.00052,0.29402,0.24229,0.21223,0.1312,1.27759,0.76943,0.94151,0.006007,0.006007,0.006007
