epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7789,1.8541,2.40787,1.10248,0.36164,0.16101,0.11795,0.05967,1.71718,1.65209,1.02757,0.0700741,0.0033251,0.0033251
2,108.95,1.83622,1.73051,1.06891,0.19997,0.19323,0.14623,0.07821,1.67836,1.49585,1.01188,0.0400521,0.00663646,0.00663646
3,158.104,1.85879,1.66442,1.06261,0.22178,0.20879,0.16256,0.08598,1.70753,1.48722,1.01375,0.0100081,0.00992582,0.00992582
4,206.168,1.83977,1.6083,1.04977,0.25881,0.21633,0.18049,0.09668,1.63676,1.3949,1.00221,0.009901,0.009901,0.009901
5,254.211,1.79184,1.53328,1.04088,0.27917,0.24099,0.20198,0.1105,1.60744,1.31532,0.98558,0.009868,0.009868,0.009868
6,302.683,1.74231,1.47108,1.02201,0.30145,0.22621,0.20171,0.11285,1.5895,1.30808,0.97994,0.009835,0.009835,0.009835
7,349.993,1.7138,1.43294,1.01627,0.29689,0.24061,0.20738,0.11547,1.56206,1.28036,0.97218,0.009802,0.009802,0.009802
8,397.07,1.68808,1.39498,1.00832,0.3164,0.25343,0.22746,0.12645,1.53429,1.23381,0.96597,0.009769,0.009769,0.009769
9,444.814,1.6739,1.3745,1.00299,0.31706,0.2454,0.22272,0.12213,1.55846,1.23792,0.96815,0.009736,0.009736,0.009736
10,491.677,1.65847,1.35099,1.00336,0.31839,0.26363,0.23715,0.13389,1.49405,1.17976,0.95569,0.009703,0.009703,0.009703
11,538.702,1.64735,1.33031,0.99443,0.32226,0.26474,0.2362,0.13241,1.47987,1.18651,0.95254,0.00967,0.00967,0.00967
12,585.645,1.62246,1.29925,0.99092,0.33677,0.26885,0.24583,0.13837,1.47117,1.15907,0.95327,0.009637,0.009637,0.009637
13,632.032,1.62454,1.29629,0.98922,0.33883,0.27241,0.24995,0.14105,1.47227,1.15614,0.94901,0.009604,0.009604,0.009604
14,678.729,1.60357,1.27193,0.98438,0.34872,0.28021,0.25701,0.14606,1.45876,1.15156,0.94345,0.009571,0.009571,0.009571
15,725.407,1.60069,1.26002,0.97878,0.35147,0.27795,0.25608,0.14597,1.45224,1.14096,0.94424,0.009538,0.009538,0.009538
16,772.283,1.59453,1.25225,0.97936,0.36167,0.2736,0.25295,0.14303,1.46197,1.13342,0.94506,0.009505,0.009505,0.009505
17,818.231,1.58234,1.2443,0.97779,0.34784,0.28697,0.26845,0.15254,1.4293,1.11714,0.94246,0.009472,0.009472,0.009472
18,865.388,1.57734,1.23075,0.97413,0.37923,0.28353,0.27133,0.15319,1.43936,1.10741,0.94015,0.009439,0.009439,0.009439
19,912.323,1.57662,1.22245,0.97547,0.36785,0.28657,0.26352,0.14894,1.43747,1.10507,0.93647,0.009406,0.009406,0.009406
20,959.858,1.56389,1.21733,0.97377,0.36496,0.28927,0.2711,0.15341,1.42859,1.10536,0.9358,0.009373,0.009373,0.009373
21,1007.61,1.55592,1.20851,0.9711,0.37352,0.29886,0.27514,0.1551,1.42256,1.09452,0.93951,0.00934,0.00934,0.00934
22,1054.53,1.56184,1.2107,0.97002,0.37,0.2825,0.26805,0.15304,1.43107,1.10397,0.93335,0.009307,0.009307,0.009307
23,1101.97,1.55709,1.20228,0.96903,0.3714,0.29753,0.28063,0.16068,1.41276,1.08767,0.93078,0.009274,0.009274,0.009274
24,1149.79,1.54996,1.19442,0.96761,0.37711,0.29403,0.27582,0.15834,1.41072,1.09466,0.93045,0.009241,0.009241,0.009241
