epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.271,1.36833,1.37149,0.98665,0.39763,0.31256,0.2989,0.17906,1.27487,1.00029,0.91831,0.0700741,0.0033251,0.0033251
2,222.193,1.40399,1.1033,0.96841,0.42463,0.32276,0.3155,0.18404,1.3511,1.06063,0.93245,0.0400739,0.00665826,0.00665826
3,326.677,1.48363,1.14909,0.98918,0.43447,0.31992,0.31335,0.17737,1.39314,1.06287,0.94009,0.010073,0.00999068,0.00999068
4,430.07,1.49687,1.12829,0.98833,0.42864,0.3176,0.31325,0.17611,1.39712,1.0879,0.93929,0.00999756,0.00999756,0.00999756
5,532.403,1.45879,1.08868,0.98304,0.42245,0.32509,0.32048,0.1855,1.32592,1.02863,0.9305,0.00999566,0.00999566,0.00999566
6,637.47,1.42582,1.04854,0.97129,0.45199,0.33711,0.34125,0.19842,1.2797,0.99817,0.92456,0.00999322,0.00999322,0.00999322
7,741.142,1.39269,1.02684,0.9641,0.45152,0.34432,0.34684,0.20548,1.25768,0.98668,0.9206,0.00999023,0.00999023,0.00999023
8,844.661,1.37556,0.99976,0.95889,0.47491,0.34764,0.35774,0.20904,1.26509,0.99084,0.92163,0.00998671,0.00998671,0.00998671
9,949.824,1.36047,0.98256,0.95452,0.46419,0.3625,0.36371,0.21776,1.22375,0.96124,0.9103,0.00998264,0.00998264,0.00998264
10,1053.84,1.34113,0.97257,0.95448,0.48266,0.3644,0.36829,0.22268,1.22375,0.94373,0.9133,0.00997803,0.00997803,0.00997803
11,1157.86,1.33568,0.96348,0.9482,0.50214,0.37542,0.38164,0.22814,1.22581,0.93369,0.91003,0.00997288,0.00997288,0.00997288
12,1262.08,1.3125,0.93471,0.94409,0.49357,0.37773,0.38628,0.23068,1.20983,0.93791,0.90625,0.0099672,0.0099672,0.0099672
13,1365.95,1.31529,0.93666,0.9433,0.49766,0.38349,0.39036,0.23403,1.19205,0.92915,0.90444,0.00996097,0.00996097,0.00996097
14,1471.12,1.29734,0.91972,0.93955,0.50531,0.38334,0.39549,0.23691,1.19516,0.90827,0.90451,0.0099542,0.0099542,0.0099542
15,1575.13,1.29121,0.91079,0.93447,0.49682,0.37931,0.39495,0.23884,1.18455,0.92314,0.90162,0.0099469,0.0099469,0.0099469
16,1678.64,1.28373,0.90597,0.93602,0.49718,0.39412,0.40189,0.24553,1.16993,0.91009,0.90107,0.00993906,0.00993906,0.00993906
17,1782.16,1.27381,0.89724,0.93425,0.51392,0.38582,0.40039,0.24334,1.18068,0.90306,0.89998,0.00993068,0.00993068,0.00993068
18,1884.7,1.26782,0.88598,0.93156,0.51755,0.38526,0.40399,0.24597,1.18098,0.90282,0.89948,0.00992177,0.00992177,0.00992177
19,1988.83,1.26487,0.87871,0.93249,0.50912,0.39319,0.4076,0.24616,1.18299,0.89716,0.89783,0.00991232,0.00991232,0.00991232
20,2092.48,1.25259,0.87533,0.92938,0.52874,0.3943,0.41248,0.24909,1.17048,0.89128,0.89665,0.00990234,0.00990234,0.00990234
21,2195.87,1.28389,0.89159,0.92843,0.51137,0.39497,0.40654,0.24729,1.17691,0.85327,0.89841,0.00989183,0.00989183,0.00989183
22,2298.57,1.28505,0.88524,0.92668,0.51513,0.39682,0.40875,0.2461,1.1964,0.84519,0.90125,0.00988079,0.00988079,0.00988079
23,2401.23,1.28054,0.87935,0.92669,0.53,0.40631,0.42488,0.25915,1.1727,0.83669,0.89764,0.00986922,0.00986922,0.00986922
24,2503.96,1.27161,0.87124,0.92423,0.50109,0.40454,0.41317,0.25158,1.16356,0.83725,0.89546,0.00985711,0.00985711,0.00985711
25,2605.95,1.27335,0.86633,0.92253,0.5398,0.40538,0.42586,0.25832,1.16884,0.83324,0.89641,0.00984449,0.00984449,0.00984449
26,2708.6,1.25622,0.85385,0.92078,0.54551,0.41088,0.42726,0.26047,1.16687,0.82818,0.89401,0.00983133,0.00983133,0.00983133
27,2811.84,1.25731,0.85674,0.92011,0.53298,0.40551,0.42496,0.25905,1.16993,0.82972,0.89705,0.00981765,0.00981765,0.00981765
28,2914.11,1.25303,0.84933,0.91886,0.52897,0.40508,0.42595,0.26109,1.15845,0.82756,0.89348,0.00980345,0.00980345,0.00980345
29,3017.19,1.25381,0.8446,0.91964,0.53488,0.40664,0.42571,0.26031,1.16118,0.82299,0.89502,0.00978873,0.00978873,0.00978873
