epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3152,1.41553,1.43795,0.98148,0.41103,0.30638,0.29617,0.17395,1.30112,1.01946,0.91726,0.0700741,0.0033251,0.0033251
2,172.167,1.43237,1.1455,0.95841,0.41317,0.30965,0.29834,0.17183,1.34112,1.16785,0.91672,0.0400739,0.00665826,0.00665826
3,245.842,1.50883,1.19042,0.97911,0.43064,0.30772,0.30224,0.17078,1.40812,1.08962,0.93861,0.010073,0.00999068,0.00999068
4,318.854,1.52624,1.16542,0.9797,0.4238,0.3222,0.31435,0.17862,1.38443,1.07426,0.93653,0.00999756,0.00999756,0.00999756
5,391.629,1.47378,1.12342,0.97456,0.42293,0.32342,0.3174,0.18118,1.35974,1.05228,0.9325,0.00999566,0.00999566,0.00999566
6,463.713,1.44112,1.07633,0.96184,0.43279,0.33728,0.33442,0.19497,1.31376,1.01527,0.92022,0.00999322,0.00999322,0.00999322
7,535.948,1.41523,1.05693,0.95808,0.43994,0.34056,0.33748,0.19844,1.29264,1.03725,0.91594,0.00999023,0.00999023,0.00999023
8,607.978,1.39623,1.03088,0.95211,0.46387,0.35619,0.35529,0.21119,1.27621,0.98624,0.91237,0.00998671,0.00998671,0.00998671
9,680.023,1.37645,1.01606,0.94639,0.4618,0.36005,0.3583,0.21204,1.2445,0.97377,0.90706,0.00998264,0.00998264,0.00998264
10,752.105,1.36036,1.00352,0.94743,0.47055,0.35834,0.36098,0.21845,1.23045,0.95023,0.9055,0.00997803,0.00997803,0.00997803
11,825.5,1.35577,0.98586,0.94135,0.48271,0.36714,0.3706,0.22022,1.24289,0.955,0.9047,0.00997288,0.00997288,0.00997288
12,898.169,1.32876,0.96236,0.93789,0.48408,0.36724,0.37228,0.22075,1.22289,0.94478,0.90458,0.0099672,0.0099672,0.0099672
13,970.908,1.33451,0.96174,0.93665,0.48618,0.37164,0.37686,0.22647,1.20284,0.93438,0.90035,0.00996097,0.00996097,0.00996097
14,1043.35,1.31324,0.94349,0.9329,0.48932,0.37559,0.38398,0.23153,1.21022,0.9344,0.90079,0.0099542,0.0099542,0.0099542
15,1115.62,1.30942,0.93748,0.92827,0.48176,0.38184,0.38051,0.22779,1.20801,0.9288,0.89918,0.0099469,0.0099469,0.0099469
16,1188.52,1.3024,0.93166,0.92937,0.49432,0.39051,0.39374,0.23587,1.19678,0.92247,0.89575,0.00993906,0.00993906,0.00993906
17,1262.14,1.29082,0.92146,0.92765,0.50642,0.382,0.39359,0.23926,1.18705,0.92397,0.89617,0.00993068,0.00993068,0.00993068
18,1335.43,1.28902,0.91238,0.92583,0.5188,0.37835,0.39707,0.24039,1.19025,0.91535,0.89522,0.00992177,0.00992177,0.00992177
19,1408.65,1.28183,0.90844,0.92546,0.49462,0.39086,0.39795,0.23933,1.20229,0.90662,0.89668,0.00991232,0.00991232,0.00991232
20,1480.19,1.27409,0.89971,0.92394,0.50137,0.39247,0.40093,0.24141,1.19062,0.90554,0.89511,0.00990234,0.00990234,0.00990234
21,1552,1.30238,0.91571,0.923,0.5003,0.39591,0.4029,0.2449,1.18597,0.87646,0.8949,0.00989183,0.00989183,0.00989183
22,1623.54,1.30586,0.91095,0.92382,0.51028,0.38474,0.39694,0.23906,1.20355,0.8765,0.89579,0.00988079,0.00988079,0.00988079
23,1694.82,1.30069,0.9023,0.92295,0.51237,0.39944,0.40899,0.24598,1.18789,0.86485,0.89485,0.00986922,0.00986922,0.00986922
24,1766.66,1.28973,0.89506,0.92064,0.50748,0.39209,0.40366,0.24532,1.17861,0.86234,0.8933,0.00985711,0.00985711,0.00985711
25,1838.3,1.2912,0.89204,0.91939,0.52384,0.40098,0.41447,0.25126,1.18299,0.85213,0.89287,0.00984449,0.00984449,0.00984449
26,1910.76,1.27752,0.87864,0.91745,0.52234,0.40222,0.41362,0.24954,1.18814,0.8576,0.89086,0.00983133,0.00983133,0.00983133
27,1982.39,1.27821,0.87817,0.91724,0.5339,0.39317,0.41715,0.25329,1.17348,0.84714,0.89155,0.00981765,0.00981765,0.00981765
