epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6735,1.82603,2.44535,1.1081,0.466,0.16118,0.11994,0.06216,1.67225,1.6454,1.01398,0.0700741,0.0033251,0.0033251
2,109.088,1.82783,1.76436,1.08809,0.31557,0.17293,0.13701,0.07234,1.70282,1.51134,1.0262,0.0400739,0.00665826,0.00665826
3,158.284,1.84748,1.68844,1.07824,0.23991,0.20169,0.1597,0.08641,1.70023,1.48341,1.00825,0.010073,0.00999068,0.00999068
4,206.464,1.831,1.60955,1.0588,0.24822,0.22247,0.18248,0.09543,1.65085,1.41632,1.00455,0.00999756,0.00999756,0.00999756
5,254.656,1.76899,1.53035,1.04531,0.27302,0.20669,0.18203,0.10194,1.63361,1.35333,0.98821,0.00999566,0.00999566,0.00999566
6,302.485,1.72914,1.46907,1.02744,0.29804,0.24626,0.21124,0.1135,1.59514,1.29029,0.98286,0.00999322,0.00999322,0.00999322
7,351.035,1.69827,1.43554,1.02209,0.28836,0.24566,0.21732,0.12112,1.5299,1.28638,0.97148,0.00999023,0.00999023,0.00999023
8,399.454,1.67379,1.40041,1.01348,0.3039,0.22759,0.21006,0.1186,1.55214,1.27411,0.97141,0.00998671,0.00998671,0.00998671
9,448.438,1.66392,1.37563,1.00986,0.32135,0.2538,0.23123,0.12902,1.49376,1.22528,0.9582,0.00998264,0.00998264,0.00998264
10,496.09,1.64015,1.35454,1.00887,0.31256,0.25495,0.22785,0.1293,1.49193,1.21417,0.95684,0.00997803,0.00997803,0.00997803
11,543.479,1.63217,1.33636,1.00026,0.32808,0.26194,0.23576,0.13315,1.4792,1.19963,0.95567,0.00997288,0.00997288,0.00997288
12,591.393,1.60981,1.30439,0.99658,0.33287,0.27015,0.24175,0.13486,1.47775,1.19133,0.95256,0.0099672,0.0099672,0.0099672
13,640.279,1.60925,1.30016,0.99403,0.32224,0.26536,0.2409,0.13758,1.4628,1.19052,0.95413,0.00996097,0.00996097,0.00996097
14,689.33,1.59224,1.27311,0.99108,0.33956,0.2773,0.25099,0.14191,1.44884,1.17471,0.94807,0.0099542,0.0099542,0.0099542
