epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.26,1.39597,1.37477,0.98479,0.4152,0.32125,0.31404,0.18721,1.25254,0.982,0.91383,0.0700741,0.0033251,0.0033251
2,227.954,1.43745,1.11723,0.96901,0.41768,0.32326,0.31378,0.185,1.3104,1.0141,0.92858,0.0400521,0.00663646,0.00663646
3,334.842,1.51584,1.17878,0.99169,0.41532,0.28754,0.28629,0.16068,1.40383,1.09072,0.94802,0.0100081,0.00992582,0.00992582
4,440.281,1.53876,1.19415,0.99468,0.40659,0.29893,0.29637,0.16926,1.38284,1.06391,0.9498,0.009901,0.009901,0.009901
5,545.444,1.49893,1.14093,0.98849,0.42499,0.31559,0.31115,0.17989,1.34705,1.02857,0.93724,0.009868,0.009868,0.009868
6,650.986,1.45122,1.09899,0.97175,0.43932,0.32577,0.32575,0.19062,1.31748,0.98835,0.93549,0.009835,0.009835,0.009835
7,756.832,1.42744,1.06917,0.96743,0.47586,0.32513,0.33688,0.1999,1.28299,0.9752,0.92467,0.009802,0.009802,0.009802
8,863.158,1.4033,1.0416,0.96024,0.45669,0.35157,0.35199,0.20736,1.2707,0.94712,0.92131,0.009769,0.009769,0.009769
9,970.027,1.38691,1.0257,0.95486,0.45694,0.34566,0.35506,0.21107,1.25227,0.93805,0.91894,0.009736,0.009736,0.009736
10,1075.82,1.37236,1.00966,0.95593,0.46963,0.35464,0.35714,0.21586,1.23805,0.9276,0.91444,0.009703,0.009703,0.009703
11,1182.08,1.3591,0.99267,0.94809,0.47877,0.3681,0.37284,0.22278,1.22776,0.90721,0.9107,0.00967,0.00967,0.00967
12,1288.07,1.33817,0.96701,0.9445,0.50153,0.36437,0.3787,0.22857,1.2014,0.88979,0.906,0.009637,0.009637,0.009637
13,1393.87,1.34012,0.96714,0.94403,0.49663,0.37061,0.37678,0.225,1.21895,0.90238,0.90792,0.009604,0.009604,0.009604
14,1499.49,1.31749,0.94639,0.93915,0.49142,0.38759,0.39406,0.23724,1.20072,0.88002,0.90453,0.009571,0.009571,0.009571
15,1605.55,1.31786,0.93814,0.93482,0.51271,0.37392,0.39238,0.23532,1.20466,0.87321,0.90647,0.009538,0.009538,0.009538
16,1710.78,1.30913,0.92819,0.93504,0.48978,0.3918,0.393,0.23752,1.19992,0.86942,0.90295,0.009505,0.009505,0.009505
17,1816.55,1.29723,0.92107,0.93213,0.50641,0.3876,0.40027,0.24281,1.19056,0.86317,0.9024,0.009472,0.009472,0.009472
18,1923.44,1.29366,0.91094,0.93064,0.52121,0.3926,0.40639,0.24421,1.19901,0.85775,0.90579,0.009439,0.009439,0.009439
19,2029.18,1.28855,0.90203,0.93154,0.51383,0.40244,0.41028,0.2472,1.18319,0.84737,0.89864,0.009406,0.009406,0.009406
20,2135.1,1.2794,0.89732,0.92811,0.52636,0.39187,0.41084,0.24737,1.18182,0.84595,0.89823,0.009373,0.009373,0.009373
21,2241.24,1.27241,0.89241,0.92804,0.51921,0.39244,0.40893,0.24833,1.17569,0.8482,0.89917,0.00934,0.00934,0.00934
22,2347.13,1.27715,0.89341,0.92702,0.52106,0.39446,0.41041,0.24875,1.1727,0.84627,0.89621,0.009307,0.009307,0.009307
23,2452.84,1.27331,0.88565,0.92715,0.52695,0.40156,0.42061,0.25366,1.17036,0.83129,0.89633,0.009274,0.009274,0.009274
24,2558.93,1.26436,0.87607,0.9248,0.52568,0.39905,0.41463,0.25265,1.16696,0.83816,0.8938,0.009241,0.009241,0.009241
25,2664.36,1.26332,0.87522,0.9218,0.5307,0.40501,0.42251,0.25793,1.16888,0.83246,0.8954,0.009208,0.009208,0.009208
26,2770.89,1.25058,0.86004,0.92168,0.53104,0.4034,0.41778,0.25573,1.1668,0.8284,0.89526,0.009175,0.009175,0.009175
27,2876.08,1.25088,0.86166,0.92067,0.53413,0.41429,0.43305,0.26634,1.15097,0.8105,0.89018,0.009142,0.009142,0.009142
28,2982.17,1.24783,0.85765,0.92037,0.55414,0.41108,0.43366,0.26651,1.15142,0.80706,0.88983,0.009109,0.009109,0.009109
29,3088.47,1.24467,0.85138,0.91897,0.55034,0.40205,0.42946,0.26374,1.14774,0.8153,0.89041,0.009076,0.009076,0.009076
30,3194.06,1.23844,0.84416,0.91813,0.5449,0.41045,0.42961,0.26105,1.15378,0.81541,0.89168,0.009043,0.009043,0.009043
31,3300.76,1.22974,0.83499,0.91567,0.54988,0.41235,0.43407,0.26635,1.14428,0.81231,0.8891,0.00901,0.00901,0.00901
32,3406.17,1.23309,0.83862,0.91709,0.55348,0.40662,0.4326,0.26506,1.14771,0.80535,0.88927,0.008977,0.008977,0.008977
33,3511.33,1.22612,0.83227,0.91579,0.55196,0.41463,0.43803,0.26785,1.14004,0.79978,0.88782,0.008944,0.008944,0.008944
34,3616.96,1.22207,0.82881,0.91254,0.54192,0.41731,0.43342,0.26623,1.14307,0.80871,0.88789,0.008911,0.008911,0.008911
35,3722.87,1.22411,0.8271,0.91431,0.55119,0.41662,0.43961,0.26964,1.14255,0.79949,0.88852,0.008878,0.008878,0.008878
36,3828.58,1.21808,0.81971,0.91071,0.54927,0.4169,0.44084,0.27084,1.14154,0.79584,0.88884,0.008845,0.008845,0.008845
