epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4416,1.44639,1.45552,0.97991,0.42619,0.30964,0.3021,0.17789,1.28706,1.02705,0.9144,0.0700741,0.0033251,0.0033251
2,163.387,1.4654,1.15223,0.96133,0.37838,0.31071,0.29172,0.17121,1.34367,1.08674,0.93128,0.0400521,0.00663646,0.00663646
3,238.097,1.53164,1.21571,0.98148,0.34564,0.28297,0.25856,0.14404,1.44937,1.23622,0.95656,0.0100081,0.00992582,0.00992582
4,311.889,1.55886,1.22208,0.98513,0.39175,0.29902,0.28921,0.16733,1.37577,1.07941,0.93571,0.009901,0.009901,0.009901
5,386.673,1.51726,1.17114,0.98089,0.42888,0.32582,0.31749,0.18332,1.34563,1.03796,0.93221,0.009868,0.009868,0.009868
6,460.669,1.46832,1.12542,0.96464,0.43312,0.32233,0.32442,0.18954,1.31592,1.01053,0.92616,0.009835,0.009835,0.009835
7,535.568,1.44296,1.10013,0.96079,0.41998,0.33057,0.32479,0.19154,1.30736,1.00201,0.92328,0.009802,0.009802,0.009802
8,610.913,1.4218,1.07109,0.95487,0.46095,0.34196,0.34386,0.20355,1.28854,0.97313,0.92042,0.009769,0.009769,0.009769
9,685.177,1.40381,1.04909,0.95019,0.4381,0.34667,0.34402,0.20224,1.27991,0.9697,0.9149,0.009736,0.009736,0.009736
10,758.539,1.39106,1.03373,0.95103,0.45166,0.36018,0.35527,0.21179,1.25409,0.94005,0.91228,0.009703,0.009703,0.009703
11,833.748,1.37868,1.01667,0.94301,0.47926,0.35801,0.36807,0.21833,1.24157,0.93087,0.90838,0.00967,0.00967,0.00967
12,908.891,1.35546,0.99316,0.93962,0.48745,0.35816,0.36894,0.22049,1.22414,0.9125,0.90594,0.009637,0.009637,0.009637
