epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3036,1.8541,2.40787,1.10248,0.36164,0.16101,0.11795,0.05967,1.71718,1.65209,1.02757,0.0700741,0.0033251,0.0033251
2,110.03,1.83622,1.73051,1.06891,0.19997,0.19323,0.14623,0.07821,1.67836,1.49585,1.01188,0.0400521,0.00663646,0.00663646
3,159.863,1.85879,1.66442,1.06261,0.22178,0.20879,0.16256,0.08598,1.70753,1.48722,1.01375,0.0100081,0.00992582,0.00992582
4,208.283,1.83977,1.6083,1.04977,0.25881,0.21633,0.18049,0.09668,1.63676,1.3949,1.00221,0.009901,0.009901,0.009901
5,256.819,1.79184,1.53328,1.04088,0.27917,0.24099,0.20198,0.1105,1.60744,1.31532,0.98558,0.009868,0.009868,0.009868
6,306.242,1.74231,1.47108,1.02201,0.30145,0.22621,0.20171,0.11285,1.5895,1.30808,0.97994,0.009835,0.009835,0.009835
7,355.149,1.7138,1.43294,1.01627,0.29689,0.24061,0.20738,0.11547,1.56206,1.28036,0.97218,0.009802,0.009802,0.009802
8,404.14,1.68808,1.39498,1.00832,0.3164,0.25343,0.22746,0.12645,1.53429,1.23381,0.96597,0.009769,0.009769,0.009769
9,452.901,1.6739,1.3745,1.00299,0.31706,0.2454,0.22272,0.12213,1.55846,1.23792,0.96815,0.009736,0.009736,0.009736
10,500.032,1.65847,1.35099,1.00336,0.31839,0.26363,0.23715,0.13389,1.49405,1.17976,0.95569,0.009703,0.009703,0.009703
11,549.332,1.64735,1.33031,0.99443,0.32226,0.26474,0.2362,0.13241,1.47987,1.18651,0.95254,0.00967,0.00967,0.00967
