epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.813,1.33438,1.25514,0.96962,0.44854,0.34769,0.34001,0.20757,1.20351,0.94005,0.90889,0.0700371,0.00332921,0.00332921
2,351.808,1.3881,1.07636,0.95832,0.47009,0.33182,0.33765,0.20154,1.27317,0.97337,0.91939,0.0400151,0.00664056,0.00664056
3,516.8,1.47211,1.1478,0.98028,0.42552,0.30218,0.30419,0.17616,1.33395,1.04121,0.94021,0.00997111,0.00992991,0.00992991
4,680.739,1.49519,1.16048,0.98859,0.43305,0.31504,0.31328,0.18207,1.3052,1.00529,0.93368,0.009901,0.009901,0.009901
5,844.477,1.45118,1.11254,0.97314,0.43891,0.33745,0.32908,0.19305,1.26891,0.97098,0.92088,0.009868,0.009868,0.009868
6,1009.38,1.41744,1.07459,0.96375,0.45124,0.35448,0.34971,0.20689,1.25399,0.94658,0.92017,0.009835,0.009835,0.009835
7,1173.05,1.39455,1.04435,0.95988,0.45151,0.36302,0.36304,0.21761,1.23056,0.93238,0.91268,0.009802,0.009802,0.009802
8,1340.91,1.3679,1.00941,0.9543,0.4728,0.36164,0.36199,0.21721,1.23741,0.91921,0.91614,0.009769,0.009769,0.009769
9,1505.95,1.34863,0.99598,0.94667,0.48034,0.36758,0.37399,0.22686,1.21101,0.90462,0.90813,0.009736,0.009736,0.009736
10,1671.21,1.34048,0.97849,0.9456,0.49013,0.37467,0.38513,0.23372,1.21091,0.89045,0.90604,0.009703,0.009703,0.009703
11,1836.51,1.32454,0.9555,0.93929,0.51126,0.38219,0.39557,0.24182,1.18174,0.86564,0.90183,0.00967,0.00967,0.00967
12,2002.64,1.31036,0.94205,0.93598,0.50041,0.39116,0.39902,0.24118,1.1862,0.87049,0.90451,0.009637,0.009637,0.009637
13,2166.54,1.30487,0.9347,0.93369,0.50335,0.38567,0.40029,0.24418,1.16396,0.85564,0.89815,0.009604,0.009604,0.009604
14,2332.08,1.29705,0.9277,0.93403,0.51174,0.39254,0.40308,0.24711,1.16643,0.85023,0.89598,0.009571,0.009571,0.009571
15,2497.68,1.28211,0.90951,0.9265,0.50142,0.40354,0.40624,0.2472,1.16439,0.84968,0.89777,0.009538,0.009538,0.009538
16,2663.87,1.28412,0.90953,0.92926,0.53368,0.39254,0.41171,0.25248,1.16325,0.83757,0.89637,0.009505,0.009505,0.009505
17,2829.82,1.27045,0.89672,0.92439,0.52971,0.39827,0.42319,0.2573,1.15336,0.82544,0.89621,0.009472,0.009472,0.009472
18,2996.23,1.25253,0.87684,0.92377,0.52372,0.40188,0.41672,0.25544,1.16052,0.82998,0.89613,0.009439,0.009439,0.009439
19,3160,1.25169,0.87286,0.92477,0.53531,0.40739,0.42377,0.25865,1.14946,0.81987,0.89278,0.009406,0.009406,0.009406
