epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.059,1.30275,1.2488,0.97126,0.44922,0.34384,0.34332,0.21158,1.1713,1.02324,0.90147,0.0700371,0.00332921,0.00332921
2,351.38,1.3515,1.06119,0.95617,0.4431,0.34846,0.34632,0.2058,1.29175,0.99068,0.92324,0.0400369,0.00666237,0.00666237
3,519.658,1.4229,1.11742,0.97005,0.45415,0.33466,0.32895,0.1861,1.33806,1.06826,0.92547,0.010036,0.00999479,0.00999479
4,685.772,1.44327,1.10383,0.9787,0.46491,0.33132,0.33768,0.19674,1.31857,1.03105,0.93144,0.00999756,0.00999756,0.00999756
5,854.429,1.41048,1.04768,0.96874,0.47409,0.34882,0.35517,0.21357,1.2294,0.96918,0.91626,0.00999566,0.00999566,0.00999566
6,1024.66,1.38049,1.0202,0.95964,0.45885,0.36307,0.36001,0.21596,1.23063,0.97776,0.91712,0.00999322,0.00999322,0.00999322
7,1193.39,1.36043,1.00165,0.95719,0.49765,0.3577,0.3726,0.22631,1.19949,0.93539,0.90664,0.00999023,0.00999023,0.00999023
8,1361.65,1.33149,0.97298,0.9522,0.49223,0.37051,0.37802,0.22489,1.22905,0.95477,0.91254,0.00998671,0.00998671,0.00998671
9,1532.19,1.3175,0.9571,0.94477,0.51269,0.37198,0.3855,0.23233,1.18233,0.91694,0.90651,0.00998264,0.00998264,0.00998264
10,1703.43,1.30546,0.93928,0.94217,0.49276,0.37837,0.38926,0.2352,1.18746,0.91565,0.90448,0.00997803,0.00997803,0.00997803
11,1872.91,1.29591,0.92231,0.93683,0.50638,0.38485,0.39898,0.24294,1.17023,0.90634,0.90054,0.00997288,0.00997288,0.00997288
12,2042.52,1.27778,0.91477,0.93497,0.51634,0.39065,0.40564,0.2461,1.173,0.9094,0.90079,0.0099672,0.0099672,0.0099672
13,2210.83,1.27749,0.90312,0.93356,0.52486,0.38876,0.40517,0.24747,1.17165,0.89443,0.90009,0.00996097,0.00996097,0.00996097
14,2378.94,1.26686,0.89341,0.93329,0.53552,0.39687,0.41883,0.25541,1.15277,0.88821,0.89406,0.0099542,0.0099542,0.0099542
15,2548.4,1.255,0.88128,0.92656,0.54023,0.38874,0.41574,0.25611,1.13976,0.87835,0.89502,0.0099469,0.0099469,0.0099469
16,2719.05,1.25763,0.87764,0.9289,0.52589,0.41079,0.42145,0.25926,1.13817,0.87828,0.89117,0.00993906,0.00993906,0.00993906
17,2888.12,1.24218,0.86861,0.92394,0.52305,0.40537,0.42333,0.25946,1.12991,0.86146,0.89255,0.00993068,0.00993068,0.00993068
18,3056.87,1.22266,0.85122,0.92296,0.54437,0.41418,0.43121,0.26273,1.14597,0.87316,0.89489,0.00992177,0.00992177,0.00992177
19,3226.97,1.22631,0.85029,0.92412,0.54278,0.41046,0.43266,0.26559,1.13294,0.8672,0.8906,0.00991232,0.00991232,0.00991232
20,3394.45,1.2197,0.83887,0.92034,0.54833,0.40246,0.42996,0.26475,1.12701,0.87218,0.89047,0.00990234,0.00990234,0.00990234
21,3563.48,1.25306,0.85807,0.91933,0.53834,0.41507,0.43348,0.26441,1.14056,0.81373,0.89332,0.00989183,0.00989183,0.00989183
22,3731.11,1.24411,0.8516,0.91906,0.54756,0.41764,0.43602,0.26656,1.13946,0.80726,0.89146,0.00988079,0.00988079,0.00988079
23,3900.07,1.24061,0.84195,0.91636,0.55229,0.42675,0.44405,0.27393,1.12753,0.80204,0.88848,0.00986922,0.00986922,0.00986922
24,4068.47,1.22553,0.82966,0.9119,0.55111,0.42226,0.43905,0.27235,1.12857,0.80412,0.88903,0.00985711,0.00985711,0.00985711
25,4234.44,1.22278,0.82445,0.91252,0.56462,0.41501,0.44242,0.27222,1.13811,0.80444,0.89064,0.00984449,0.00984449,0.00984449
26,4400.94,1.21688,0.81669,0.91203,0.56088,0.4242,0.44517,0.27483,1.12978,0.79774,0.88809,0.00983133,0.00983133,0.00983133
27,4569.81,1.21976,0.81466,0.91124,0.55956,0.42751,0.4474,0.276,1.12954,0.79722,0.88751,0.00981765,0.00981765,0.00981765
28,4736.66,1.21096,0.81186,0.90837,0.58171,0.41997,0.45131,0.27799,1.12634,0.78908,0.88856,0.00980345,0.00980345,0.00980345
29,4902.19,1.20986,0.80466,0.90808,0.56424,0.42357,0.45103,0.27662,1.11699,0.7901,0.88527,0.00978873,0.00978873,0.00978873
30,5067.72,1.1997,0.79768,0.90709,0.55157,0.43077,0.44976,0.27603,1.1154,0.79328,0.88566,0.00977349,0.00977349,0.00977349
31,5233.34,1.20361,0.79586,0.9079,0.57898,0.42759,0.45881,0.28404,1.11393,0.77867,0.88525,0.00975773,0.00975773,0.00975773
32,5401.84,1.20003,0.7965,0.90768,0.56981,0.43546,0.46047,0.28362,1.11206,0.781,0.88575,0.00974145,0.00974145,0.00974145
33,5569.6,1.19392,0.78783,0.90618,0.55446,0.43794,0.45543,0.2812,1.11193,0.77348,0.88335,0.00972466,0.00972466,0.00972466
34,5734.99,1.19537,0.78748,0.90239,0.56123,0.4445,0.46378,0.28656,1.11363,0.77793,0.88291,0.00970736,0.00970736,0.00970736
35,5902.68,1.19175,0.78456,0.90533,0.56248,0.43471,0.45792,0.28377,1.10218,0.77183,0.88247,0.00968955,0.00968955,0.00968955
36,6068.75,1.18917,0.78137,0.90345,0.56756,0.43314,0.45838,0.28413,1.1086,0.78061,0.88533,0.00967122,0.00967122,0.00967122
37,6235.61,1.1801,0.76887,0.90244,0.58013,0.4312,0.45995,0.28463,1.10625,0.76684,0.88305,0.00965239,0.00965239,0.00965239
38,6399.98,1.18306,0.7662,0.90126,0.5713,0.43373,0.4654,0.29008,1.09906,0.77017,0.88114,0.00963306,0.00963306,0.00963306
39,6569.27,1.17999,0.76874,0.90169,0.56702,0.44509,0.46679,0.28801,1.10629,0.77405,0.88182,0.00961322,0.00961322,0.00961322
40,6734.36,1.17384,0.76168,0.90065,0.58232,0.44041,0.46503,0.28866,1.10277,0.76842,0.88183,0.00959289,0.00959289,0.00959289
41,6900.89,1.16931,0.75621,0.90028,0.57939,0.44225,0.46858,0.28909,1.10683,0.76865,0.88599,0.00957205,0.00957205,0.00957205
42,7067.4,1.17468,0.75336,0.90422,0.56632,0.43661,0.46325,0.28696,1.11029,0.77234,0.8858,0.00955072,0.00955072,0.00955072
43,7233.32,1.17889,0.74885,0.90806,0.5689,0.43684,0.46476,0.28846,1.10891,0.76886,0.89103,0.00952889,0.00952889,0.00952889
44,7401.77,1.1705,0.74229,0.90651,0.56153,0.44352,0.46171,0.28675,1.10962,0.76591,0.89171,0.00950658,0.00950658,0.00950658
45,7567.35,1.17777,0.74264,0.91552,0.57006,0.45573,0.47003,0.29197,1.11251,0.76412,0.89562,0.00948377,0.00948377,0.00948377
46,7735.19,1.18694,0.74181,0.91714,0.58318,0.45053,0.47533,0.29602,1.11335,0.7509,0.89791,0.00946048,0.00946048,0.00946048
47,7902.3,1.17566,0.73532,0.9168,0.574,0.44817,0.47009,0.2901,1.12418,0.76585,0.90046,0.00943671,0.00943671,0.00943671
48,8070.43,1.17874,0.73293,0.91805,0.58896,0.44539,0.47345,0.29324,1.12487,0.75969,0.90435,0.00941245,0.00941245,0.00941245
49,8238.75,1.19006,0.73275,0.92093,0.59561,0.44533,0.4734,0.29416,1.12482,0.76002,0.90587,0.00938772,0.00938772,0.00938772
50,8405.36,1.18664,0.73053,0.92396,0.5634,0.45151,0.4701,0.29072,1.13211,0.76259,0.91009,0.00936251,0.00936251,0.00936251
51,8572.55,1.18931,0.73027,0.92593,0.58471,0.44852,0.4749,0.29531,1.13059,0.76046,0.91112,0.00933683,0.00933683,0.00933683
52,8738.26,1.18655,0.71938,0.92697,0.58472,0.44623,0.47391,0.29564,1.13331,0.75716,0.91449,0.00931067,0.00931067,0.00931067
53,8904.24,1.1921,0.72147,0.93286,0.57223,0.45432,0.47237,0.29455,1.14343,0.75933,0.91807,0.00928405,0.00928405,0.00928405
54,9070.64,1.19858,0.71989,0.93842,0.57727,0.44893,0.47067,0.29329,1.1424,0.75834,0.92062,0.00925697,0.00925697,0.00925697
55,9236.43,1.1902,0.71411,0.9358,0.58311,0.44529,0.47451,0.2956,1.15014,0.75835,0.92547,0.00922942,0.00922942,0.00922942
56,9403.85,1.19883,0.71283,0.93888,0.57674,0.44463,0.46836,0.29182,1.14562,0.75914,0.92723,0.00920142,0.00920142,0.00920142
57,9571.68,1.19678,0.7125,0.94211,0.58488,0.44541,0.47042,0.29238,1.15681,0.75891,0.9293,0.00917296,0.00917296,0.00917296
58,9738.61,1.20112,0.70929,0.94476,0.58984,0.45012,0.4765,0.29773,1.1557,0.7528,0.93283,0.00914405,0.00914405,0.00914405
59,9908.55,1.19887,0.70135,0.94623,0.59284,0.4481,0.47565,0.29457,1.16234,0.75393,0.93636,0.00911469,0.00911469,0.00911469
60,10074.3,1.19831,0.69776,0.94763,0.57307,0.45385,0.47646,0.29568,1.16225,0.7568,0.93841,0.00908488,0.00908488,0.00908488
61,10240.1,1.21112,0.7057,0.95305,0.57594,0.45122,0.47287,0.29421,1.16424,0.75479,0.93899,0.00905463,0.00905463,0.00905463
62,10404.6,1.20082,0.69264,0.95184,0.57273,0.45723,0.47689,0.29813,1.1643,0.75381,0.9411,0.00902395,0.00902395,0.00902395
63,10572.9,1.21098,0.69753,0.95767,0.584,0.45472,0.47675,0.29821,1.16784,0.75247,0.94641,0.00899282,0.00899282,0.00899282
64,10737.3,1.20728,0.68843,0.95889,0.59459,0.44916,0.47734,0.29712,1.17385,0.75318,0.94913,0.00896127,0.00896127,0.00896127
65,10902.3,1.21292,0.69446,0.95921,0.59824,0.44577,0.47555,0.29694,1.17843,0.75039,0.9526,0.00892928,0.00892928,0.00892928
66,11065.5,1.21244,0.68951,0.9636,0.59184,0.45643,0.47926,0.29839,1.1796,0.75233,0.95436,0.00889687,0.00889687,0.00889687
67,11229.3,1.21559,0.6861,0.96453,0.58398,0.44873,0.47381,0.29696,1.17895,0.76192,0.95598,0.00886404,0.00886404,0.00886404
68,11392.2,1.21595,0.68066,0.96724,0.59009,0.45027,0.47689,0.29878,1.1811,0.7526,0.95874,0.00883079,0.00883079,0.00883079
69,11556.2,1.22498,0.68287,0.96974,0.59282,0.44674,0.47345,0.29603,1.18852,0.75543,0.96236,0.00879713,0.00879713,0.00879713
70,11720.1,1.21759,0.68153,0.97496,0.58973,0.45103,0.47627,0.29767,1.19317,0.75933,0.96558,0.00876305,0.00876305,0.00876305
71,11882.5,1.21518,0.67097,0.97605,0.58188,0.4573,0.47655,0.29671,1.20018,0.75979,0.96877,0.00872857,0.00872857,0.00872857
72,12046,1.2266,0.67556,0.97847,0.5818,0.45558,0.47595,0.29684,1.20288,0.75785,0.97222,0.00869368,0.00869368,0.00869368
73,12212.3,1.22556,0.67476,0.98074,0.58662,0.45892,0.47728,0.29793,1.20217,0.75774,0.97322,0.00865839,0.00865839,0.00865839
74,12377.9,1.22062,0.6667,0.97905,0.59959,0.45076,0.47819,0.29733,1.20875,0.75986,0.97757,0.00862271,0.00862271,0.00862271
75,12545,1.21925,0.66094,0.9838,0.59436,0.44804,0.47792,0.29786,1.21305,0.76035,0.97975,0.00858664,0.00858664,0.00858664
76,12710.2,1.2276,0.66407,0.9865,0.58964,0.45988,0.47851,0.29855,1.20878,0.75773,0.98228,0.00855018,0.00855018,0.00855018
77,12877.4,1.22931,0.66034,0.98999,0.59061,0.45235,0.4789,0.29795,1.22334,0.76135,0.98639,0.00851333,0.00851333,0.00851333
78,13043.2,1.23294,0.65948,0.99192,0.58325,0.45348,0.47526,0.29626,1.22265,0.76167,0.98882,0.00847611,0.00847611,0.00847611
79,13207.9,1.22137,0.65246,0.99353,0.57613,0.46404,0.47956,0.29813,1.22739,0.76291,0.99088,0.00843851,0.00843851,0.00843851
80,13372.2,1.24362,0.661,0.99971,0.58578,0.45706,0.47949,0.29887,1.22564,0.75422,0.99448,0.00840054,0.00840054,0.00840054
81,13538.1,1.23208,0.65338,0.99604,0.58427,0.44887,0.47395,0.29608,1.225,0.76175,0.99371,0.0083622,0.0083622,0.0083622
82,13704.4,1.22529,0.65044,0.99668,0.58129,0.45612,0.47609,0.29745,1.2263,0.76163,0.99459,0.00832349,0.00832349,0.00832349
83,13869.6,1.22855,0.65148,0.99696,0.60154,0.44667,0.47801,0.29832,1.2257,0.75692,0.99389,0.00828443,0.00828443,0.00828443
84,14035.2,1.22924,0.64796,0.99522,0.59809,0.45165,0.48045,0.29915,1.22681,0.7604,0.99535,0.00824502,0.00824502,0.00824502
85,14199,1.21621,0.64353,0.99457,0.58881,0.45624,0.48053,0.2993,1.22881,0.7591,0.99417,0.00820525,0.00820525,0.00820525
86,14362.1,1.22874,0.64804,0.99433,0.59176,0.45258,0.47921,0.2992,1.22858,0.76532,0.99307,0.00816514,0.00816514,0.00816514
87,14523.4,1.21565,0.63913,0.99477,0.59226,0.45451,0.47989,0.29894,1.22904,0.76354,0.99477,0.00812468,0.00812468,0.00812468
88,14685.1,1.22344,0.6425,0.99223,0.58735,0.45391,0.4782,0.29817,1.22102,0.7612,0.9928,0.00808389,0.00808389,0.00808389
89,14845.9,1.21925,0.63894,0.99389,0.58176,0.45444,0.47599,0.29718,1.22471,0.76472,0.99338,0.00804277,0.00804277,0.00804277
90,15007.9,1.21018,0.635,0.99188,0.58703,0.45892,0.48095,0.29998,1.22517,0.7586,0.99394,0.00800131,0.00800131,0.00800131
91,15171,1.21206,0.6357,0.99434,0.59213,0.45561,0.47995,0.2997,1.22463,0.76556,0.99388,0.00795954,0.00795954,0.00795954
92,15332,1.21274,0.63503,0.99151,0.58078,0.4612,0.48224,0.30283,1.21895,0.7579,0.99322,0.00791744,0.00791744,0.00791744
93,15494.4,1.20568,0.62937,0.99035,0.58155,0.46232,0.48052,0.29967,1.22178,0.76071,0.99445,0.00787503,0.00787503,0.00787503
94,15655.6,1.20725,0.63007,0.99132,0.58016,0.46796,0.48026,0.30186,1.2207,0.76207,0.99408,0.00783231,0.00783231,0.00783231
95,15816.3,1.20196,0.62629,0.99136,0.5747,0.4629,0.47794,0.30024,1.22556,0.76861,0.99572,0.00778929,0.00778929,0.00778929
96,15978.9,1.20894,0.63287,0.99042,0.59227,0.45412,0.4813,0.30207,1.22893,0.75998,0.99665,0.00774596,0.00774596,0.00774596
97,16139.7,1.19877,0.62453,0.99112,0.57896,0.458,0.47677,0.29825,1.22444,0.7654,0.99475,0.00770234,0.00770234,0.00770234
98,16302,1.19881,0.62216,0.98992,0.58817,0.45474,0.47595,0.29721,1.22707,0.76488,0.99515,0.00765843,0.00765843,0.00765843
99,16463.3,1.2008,0.62097,0.99042,0.59301,0.45566,0.48222,0.30055,1.22429,0.76268,0.99488,0.00761423,0.00761423,0.00761423
100,16624.7,1.19905,0.62097,0.98892,0.57176,0.46542,0.4773,0.29866,1.2276,0.77,0.99556,0.00756976,0.00756976,0.00756976
101,16784,1.19073,0.61609,0.98878,0.59352,0.45537,0.48011,0.3006,1.22307,0.76412,0.99356,0.007525,0.007525,0.007525
102,16943.9,1.19849,0.62007,0.98732,0.59736,0.45079,0.47893,0.29971,1.22434,0.76374,0.99363,0.00747997,0.00747997,0.00747997
103,17102.4,1.19158,0.61467,0.98658,0.58548,0.45905,0.47893,0.29954,1.22149,0.76479,0.99407,0.00743468,0.00743468,0.00743468
104,17262.2,1.1896,0.61363,0.98696,0.59991,0.4569,0.47893,0.29968,1.22082,0.76192,0.99377,0.00738913,0.00738913,0.00738913
105,17421.6,1.18473,0.61228,0.98669,0.59436,0.45976,0.48076,0.29999,1.22417,0.76364,0.99531,0.00734332,0.00734332,0.00734332
106,17581.1,1.18105,0.60307,0.98451,0.59752,0.46118,0.48189,0.30293,1.22208,0.76697,0.9928,0.00729725,0.00729725,0.00729725
107,17742,1.18006,0.60623,0.98497,0.58273,0.46225,0.47975,0.30066,1.2252,0.76337,0.99319,0.00725094,0.00725094,0.00725094
108,17901.9,1.18348,0.60889,0.98374,0.60064,0.45681,0.48223,0.30243,1.22357,0.76417,0.99492,0.00720439,0.00720439,0.00720439
109,18061.5,1.17931,0.60368,0.98393,0.5943,0.4585,0.4809,0.30206,1.22576,0.76572,0.99424,0.00715761,0.00715761,0.00715761
110,18221.7,1.17873,0.60298,0.98397,0.5858,0.46233,0.48069,0.3015,1.21876,0.76742,0.99276,0.00711059,0.00711059,0.00711059
111,18380.9,1.17525,0.60303,0.98499,0.59524,0.45653,0.4813,0.30225,1.22489,0.76014,0.99576,0.00706335,0.00706335,0.00706335
112,18540.9,1.1733,0.60018,0.98224,0.60181,0.45229,0.4814,0.30292,1.22424,0.76462,0.99622,0.00701588,0.00701588,0.00701588
113,18700.3,1.17018,0.5949,0.98208,0.58923,0.46102,0.4819,0.30243,1.2251,0.76597,0.99521,0.0069682,0.0069682,0.0069682
114,18860.1,1.1679,0.59508,0.98123,0.6095,0.45715,0.48483,0.30245,1.22691,0.76129,0.99496,0.00692031,0.00692031,0.00692031
115,19020,1.17263,0.6006,0.98322,0.59765,0.46032,0.48367,0.30186,1.22613,0.76479,0.99617,0.00687222,0.00687222,0.00687222
116,19179.5,1.16585,0.59215,0.98433,0.59769,0.46187,0.48573,0.30367,1.22363,0.76149,0.99642,0.00682392,0.00682392,0.00682392
117,19340.2,1.16299,0.59097,0.98111,0.60032,0.46112,0.48344,0.30186,1.22792,0.76798,0.99612,0.00677543,0.00677543,0.00677543
118,19500.1,1.16045,0.58682,0.98007,0.60611,0.45834,0.48513,0.30381,1.22345,0.76458,0.99713,0.00672675,0.00672675,0.00672675
119,19661.4,1.15549,0.5852,0.98026,0.60322,0.45871,0.48236,0.30151,1.2243,0.7673,0.99537,0.00667789,0.00667789,0.00667789
120,19821.4,1.15136,0.5845,0.9768,0.57861,0.46559,0.47905,0.29915,1.22216,0.76785,0.99467,0.00662885,0.00662885,0.00662885
121,19980.5,1.15503,0.58045,0.97814,0.59438,0.46033,0.48251,0.30199,1.22677,0.76972,0.99615,0.00657963,0.00657963,0.00657963
122,20140.3,1.1486,0.57878,0.97771,0.60412,0.45757,0.48284,0.30175,1.22235,0.77116,0.99493,0.00653025,0.00653025,0.00653025
123,20299.8,1.15138,0.58013,0.97872,0.58863,0.46112,0.48141,0.30085,1.22427,0.77174,0.99435,0.00648071,0.00648071,0.00648071
124,20460,1.14734,0.57817,0.97913,0.59183,0.45951,0.48172,0.30102,1.2231,0.77252,0.99467,0.00643101,0.00643101,0.00643101
125,20619.3,1.14692,0.57611,0.97802,0.58622,0.45858,0.4791,0.29992,1.22186,0.77711,0.99474,0.00638115,0.00638115,0.00638115
126,20781,1.14552,0.57422,0.97772,0.59868,0.45248,0.47886,0.30083,1.22245,0.77865,0.99496,0.00633115,0.00633115,0.00633115
127,20940.9,1.14675,0.57877,0.97854,0.59071,0.46082,0.47969,0.30109,1.22272,0.77522,0.99576,0.00628101,0.00628101,0.00628101
128,21100.9,1.14071,0.57376,0.97638,0.60108,0.46053,0.48355,0.30212,1.22413,0.76914,0.99425,0.00623074,0.00623074,0.00623074
129,21261.8,1.13209,0.56963,0.97675,0.59128,0.45981,0.47957,0.29977,1.22699,0.77203,0.99559,0.00618034,0.00618034,0.00618034
130,21422.5,1.13807,0.57302,0.9777,0.59036,0.45842,0.47911,0.29952,1.22383,0.77435,0.9953,0.00612981,0.00612981,0.00612981
131,21582.3,1.13613,0.57127,0.97611,0.58485,0.46102,0.48004,0.30048,1.22508,0.77213,0.99523,0.00607916,0.00607916,0.00607916
132,21741.4,1.13748,0.56843,0.97541,0.58725,0.46366,0.48169,0.30121,1.22917,0.77366,0.99616,0.0060284,0.0060284,0.0060284
133,21901,1.13131,0.56596,0.97384,0.58794,0.46591,0.48249,0.30165,1.22697,0.7785,0.99588,0.00597754,0.00597754,0.00597754
134,22060.8,1.13674,0.56567,0.97619,0.60794,0.45543,0.48362,0.30305,1.22362,0.77269,0.99453,0.00592657,0.00592657,0.00592657
135,22220.2,1.13573,0.56695,0.9732,0.59135,0.46256,0.48004,0.29975,1.22641,0.7784,0.99609,0.00587551,0.00587551,0.00587551
136,22380.3,1.12858,0.5661,0.9724,0.59653,0.45212,0.47945,0.30006,1.2238,0.77595,0.99514,0.00582435,0.00582435,0.00582435
137,22539.2,1.12727,0.56306,0.97336,0.59307,0.45774,0.47965,0.30055,1.22482,0.77973,0.99702,0.00577311,0.00577311,0.00577311
138,22698.7,1.12821,0.56156,0.97249,0.58182,0.46282,0.48045,0.29997,1.2253,0.77859,0.99699,0.00572179,0.00572179,0.00572179
139,22857.4,1.11643,0.55605,0.97116,0.5896,0.46316,0.47946,0.30051,1.21999,0.77919,0.99631,0.0056704,0.0056704,0.0056704
140,23017.2,1.11807,0.55767,0.97174,0.59056,0.46195,0.47904,0.30097,1.21994,0.77659,0.99554,0.00561894,0.00561894,0.00561894
141,23176.3,1.1189,0.55787,0.97331,0.58517,0.46181,0.47967,0.30175,1.22301,0.7765,0.99556,0.00556742,0.00556742,0.00556742
142,23336.1,1.11372,0.55249,0.97266,0.59541,0.45701,0.47879,0.30165,1.22378,0.77619,0.9963,0.00551584,0.00551584,0.00551584
143,23496.3,1.12056,0.55502,0.97221,0.59251,0.45859,0.48024,0.30124,1.22341,0.77634,0.99582,0.00546421,0.00546421,0.00546421
144,23656.2,1.10558,0.54635,0.96959,0.59295,0.45909,0.47998,0.30065,1.22439,0.78004,0.99678,0.00541253,0.00541253,0.00541253
145,23815.5,1.11324,0.55161,0.97137,0.60246,0.45581,0.47956,0.3015,1.22302,0.78321,0.99617,0.00536081,0.00536081,0.00536081
146,23975.3,1.11162,0.54887,0.97188,0.59461,0.4586,0.48211,0.30329,1.22246,0.78293,0.99497,0.00530906,0.00530906,0.00530906
147,24135.3,1.10487,0.54721,0.96875,0.59204,0.4635,0.48243,0.30284,1.22492,0.78214,0.99677,0.00525728,0.00525728,0.00525728
148,24295.4,1.10449,0.54663,0.97121,0.58574,0.46487,0.48064,0.3017,1.22629,0.78166,0.99678,0.00520548,0.00520548,0.00520548
149,24454.6,1.10051,0.54324,0.96884,0.58231,0.46741,0.48121,0.30198,1.22432,0.78383,0.9957,0.00515366,0.00515366,0.00515366
150,24614,1.09897,0.54205,0.96782,0.58277,0.46313,0.48085,0.30089,1.22709,0.78395,0.99682,0.00510184,0.00510184,0.00510184
151,24773.9,1.09849,0.53974,0.96726,0.59301,0.45754,0.47884,0.29919,1.22647,0.78699,0.99607,0.00505,0.00505,0.00505
152,24934,1.09609,0.53825,0.96619,0.59849,0.45544,0.47972,0.30004,1.22696,0.78655,0.99678,0.00499816,0.00499816,0.00499816
153,25093.1,1.09041,0.5355,0.96786,0.59725,0.45738,0.48159,0.30058,1.22964,0.78434,0.99701,0.00494634,0.00494634,0.00494634
